Term	Notes	English	Ukrainian
card_wizard_robe_description		It's like a magical snuggie	Це ніби чарівне затишшя
card_wizard_robe_name		Wizard Robe	Мантія чарівника
card_wolf_head_description		Perfect for furries	Ідеально підходить для пухнастиків
card_wolf_head_name		Wolf Head	Голова вовка
card_wooden_shield_description		A basic defense against hard blows	Базовий захист від сильних ударів
card_wooden_shield_name		Wooden Shield	Дерев'яний щит
cardtype_equipable		Equipment	Спорядження
control_toggle_inventory		Open Inventory	Відкрити інвентар
credits_wouter		Programming	Програмування
defence_veryweak		Very Weak	Дуже слабкий
defence_weak		Weak	Слабкий
defence_normal		Normal	Нормальний
defence_strong		Strong	Сильний
defence_verystrong		Very Strong	Дуже сильний
defence_extremelystrong		Extremely Strong	Надзвичайно сильний
hitchance_verysmall		Very Small	Дуже маленький
hitchance_small		Small	Малий
hitchance_normal		Normal	Нормальний
hitchance_high		High	Високий
hitchance_veryhigh		Very High	Дуже високий
hitchance_extremelyhigh		Extremely High	Надзвичайно високий
idea_amulet_of_forest_status_0		Crafting Amulet of the Forest	Виготовлення амулета лісу
idea_amulet_of_mountain_status_0		Crafting Amulet of the Mountain	Виготовлення гірського амулета
idea_axe_status_0		Creating an Axe	Виготовлення сокири
idea_blowpipe_status_0		Creating a Blowpipe	Виготовлення духової труби
idea_blunderbuss_status_0		Creating a Blunderbuss	Виготовлення мушкета
idea_bone_spear_status_0		Creating a Bone Spear	Виготовлення кістяного списа
idea_bone_staff_status_0		Creating a Bone Staff	Виготовлення кістяного посоха
idea_boomerang_status_0		Creating a Boomerang	Виготовлення бумеранга
idea_bow_status_0		Creating a Bow	Створення лука
idea_broken_bottle_status_0		Smashing a Bottle	Розбивання пляшки
idea_chainmail_armor_status_0		Creating Chainmail Armor	Виготовлення кольчужної броні
idea_club_status_0		Creating a Club	Виготовлення бити
idea_crossbow_status_0		Creating a Crossbow	Виготовлення арбалета
idea_gold_chestplate_status_0		Smithing a Chestplate	Виготовлення нагрудника
idea_growth_status_12		Growing Sugar Cane	Вирощування цукрової тростини
idea_hammer_status_0		Creating a Hammer	Виготовлення молота
idea_iron_shield_status_0		Smithing an Iron Shield	Кування залізного щита
idea_magic_blade_status_0		Creating a Magic Blade	Виготовлення чарівного меча
idea_magic_ring_status_0		Creating a Magic Ring	Виготовлення чарівного персня
idea_magic_staff_status_0		Creating a Magic Staff	Виготовлення чарівного посоха
idea_magic_tome_status_0		Creating a Magic Tome	Виготовлення книги чарів
idea_magic_wand_status_0		Creating a Magic Wand	Виготовлення чарівної палички
idea_pickaxe_status_0		Creating a Pickaxe	Виготовлення кайла
idea_slingshot_status_0		Creating a Slingshot	Виготовлення рогатки
idea_smithy_status_0		Building a Smithy	Будівництво кузні
idea_spiked_plank_status_0		Spiking a Plank	Шипування дошки
idea_stable_portal_status_0		Building a Stable Portal	Будівництво стабільного порталу
idea_throwing_star_status_0		Creating a Throwing Star	Виготовлення кидальних зірочок
idea_wizard_robe_status_0		Creating Wizard Robe	Виготовлення мантії чарівника
idea_wooden_shield_status_0		Creating Wooden Shield	Виготовлення дерев'яного щита
label_base_combatlevel		Base Combat Level [level]	Базовий бойовий рівень [level]
label_can_drop		Can drop:	Може містити:
label_cancel_the_ritual		Wait a minute...	Зачекайте хвилинку...
label_combatlevel		Combat Level [level]	Бойовий рівень: [level]
label_debug_cards	Does not need to be translated	Cards	Картки
label_debug_coin_chest	Does not need to be translated	Spawn full coin chest	Spawn full coin chest
label_debug_effects	Does not need to be translated	Status effects	Status effects
label_debug_end_moon	Does not need to be translated	End current moon	End current moon
label_debug_endless_moon	Does not need to be translated	Endless moon: [on_off]	Нескінченний день: [on_off]
label_debug_general	Does not need to be translated	General	General
label_debug_start_cities_run	Does not need to be translated	Start Cities Run	Start Cities Run
label_debug_reset_run	Does not need to be translated	Reset run vars	Reset run vars
label_debug_scenario_demon	Does not need to be translated	Spawn the Demon	Spawn the Demon
label_debug_scenario_demon_lord	Does not need to be translated	Spawn the Demon Lord	Викликати лорда демонів
label_debug_scenario_island	Does not need to be translated	Go to the Island	Go to the Island
label_debug_scenario_kraken	Does not need to be translated	Spawn the Kraken	Spawn the Kraken
label_debug_scenario_witch_forest	Does not need to be translated	Go to witch forest	Go to witch forest
label_debug_shortcut_copy	Does not need to be translated	Hover + C: Copy card	Hover + C: Copy card
label_debug_shortcut_delete	Does not need to be translated	Hover + R: Removekill card	Hover + R: Removekill card
label_debug_shortcut_heal	Does not need to be translated	Hover + H: heal card	Hover + H: heal card
label_debug_shortcut_progress	Does not need to be translated	Hover + Z: Complete progress	Hover + Z: Complete progress
label_debug_shortcut_status	Does not need to be translated	Hover + U: Remove status effects	Hover + U: Remove status effects
label_debug_shortcuts	Does not need to be translated	Shortcuts	Shortcuts
label_debug_spawn_enemies	Does not need to be translated	Spawn Enemies	Spawn Enemies
label_debug_toggle_no_food	Does not need to be translated	Not using Food: [on_off]	Not using Food: [on_off]
label_debug_toggle_peaceful_mode	Does not need to be translated	Peaceful mode: [on_off]	Мирний режим: [on_off]
label_debug_unlock_boosters	Does not need to be translated	Unlock all booster packs	Unlock all booster packs
label_debug_unlock_ideas	Does not need to be translated	Unlock all ideas	Unlock all ideas
label_debug_unlock_quests	Does not need to be translated	Unlock all quests	Unlock all quests
label_defence		Defense	Захист
label_demo		Demo	Демо
label_demo_any_key_to_start		Press any key to start playing	Натисніть будь-яку клавішу, щоб почати грати
label_demo_reset_warning		Demo will reset in [time]s, press any key to continue	Демо буде скинуто через [time]с, натисніть будь-яку клавішу, щоб продовжити
label_equiping		Equipping [card]	Спорядження [card]
label_everyone_in_forest_dead		You could not seek revenge	Ви не змогли помститися
label_everyone_in_forest_dead_text		Strenghten up and try again!	Наберіться сил і спробуйте ще раз!
label_extra_combat_stats		Extra Combat Stats: [on_off]	Додаткова бойова статистика: [on_off]
label_forest_fight		Get ready to fight!	Готуйтеся до бою!
label_forest_fight_wave_10		Get ready to fight the Wicked Witch!	Приготуйтеся до бою зі злою відьмою!
label_forest_intro_1		You enter a Strange Dark Forest	Ви потрапляєте в дивний темний ліс
label_forest_intro_2		An old lady appears!	З'являється літня жінка!
label_forest_intro_3		Good day to you, traveler..	Доброго дня тобі, мандрівник..
label_forest_intro_4		Now she's closer, she does not look like an Old Lady at all!	Тепер, коли вона ближче, зовсім не схожа на літню жінку!
label_forest_intro_5		She's a Wicked Witch!	Вона зла відьма!
label_forest_intro_6		You've come to seek revenge, but you'll never defeat me!	Ти прийшов помститися, але ти ніколи не переможеш мене!
label_forest_intro_title		The Dark Forest	Темний ліс
label_forest_leave		You fled with your earnings	Ви втекли зі своїми здобутками
label_forest_lost		Pathetic, was that everything you've got?	Жалюгідно, це все, що ти можеш?
label_forest_lost_2		All your villagers have fallen. You have to take your losses and fall back.	Усі ваші жителі полягли. Ви повинні прийняти свої втрати та відступити.
label_forest_lost_title		Your Villagers withered away	Ваші селяни висохли
label_forest_resume		So you're back for more? You will never defeat me!	Отже, ти знову тут? Ти мене ніколи не переможеш!
label_forest_resume_title		Back again?	Знову повернувся?
label_forest_wave_10_end		How did this happen? I'll defeat you!	Як це сталося? Я тебе переможу!
label_forest_wave_10_end2		Do you want to fight the Wicked Witch or leave the Forest?	Ви хочете битися зі злою відьмою, чи покинути ліс?
label_forest_wave_end		You've beaten my minions, but I have plenty more!	Ти переміг моїх посіпак, але у мене їх ще багато!
label_forest_wave_end_leave		Flee the Forest	Утекти з лісу
label_forest_wave_end_next_wave		Fight wave [wave]	Бойова хвиля [wave]
label_forest_wave_end_wave_10		Fight the Wicked Witch	Битися зі злою відьмою
label_forest_wave_end2		Do you want to fight the next wave or run away?	Ви хочете боротися з наступною хвилею чи втекти?
label_forest_wave_endless_end		You've defeated the Wicked Witch, yet a dark force still lingers..	Ви перемогли злу відьму, але темна сила залишилася...
label_forest_wave_endless_end3		You can continue fighting to get more resources	Ви можете продовжувати битися, щоб отримати більше ресурсів
label_forest_wave_title		Wave Defeated	Хвиля переможена
label_framerate_120		120 FPS	120 FPS
label_framerate_30		30 FPS	30 FPS
label_framerate_60		60 FPS	60 FPS
label_framerate_cap		Framerate limit: [fps_cap]	Ліміт кадрів: [fps_cap]
label_framerate_unlimited		None	Немає
label_go_to_forest_prompt		Are you sure you want to travel through this Portal?	Ви впевнені, що хочете пройти через цей портал?
label_inventory		Inventory	Інвентар
label_not_enough_food_before_portal		You need to have enough Food for your Villagers before you can enter the Portal	Вам потрібно мати достатньо їжі для селян, перш ніж ви зможете увійти в портал
label_taking_portal_full		Teleporting through Portal	Телепортація через портал
label_taking_portal_title		Take the Portal	Взяти портал
label_total_combatlevel		Total Combat Level [level]	Загальний бойовий рівень [level]
quest_break_bottle_text		Break a Bottle	Розбити пляшку
quest_build_smithy_text		Build a Smithy	Побудувати кузню
quest_build_stable_portal_text		Build a Stable Portal	Побудувати стабільний портал
quest_craft_amulet_forest_text		Craft the Amulet of the Forest	Створити амулет лісу
quest_equip_archer_quiver_text		Equip an Archer with a Quiver	Одягнути на лучника сагайдак
quest_fight_wave_six_text		Get to wave 6	Добратися до хвилі 6
quest_fight_wicked_witch_text		Fight the Wicked Witch	Битися зі злою відьмою
quest_find_dark_forest_text		Find the Dark Forest	Знайти темний ліс
quest_finish_first_wave_text		Complete the first wave	Завершити першу хвилю
quest_plant_berry_bush_text		Grow a Berry Bush using Soil	Виростити ягідний кущ у ґрунті
quest_punch_rock_text		Mine a Rock using a Villager	Видобути камінь селянином
quest_punch_tree_text		Harvest a Tree using a Villager	Зібрати дерево селянином
quest_train_archer_text		Train an Archer	Натренуйте лучника
quest_train_ninja_text		Train a Ninja	Натренуйте ніндзю
quest_train_wizard_text		Train a Wizard	Натренувати чарівника
quest_villager_combat_20_text		Have a Villager with Combat Level 20	Мати селянина з бойовим рівнем 20
quest_wear_bunny_hat_text		Make a Villager wear a Rabbit Hat	Змусьте селянина одягнути кролячий капелюх
quest_wear_crab_scale_armor_text		Make a Villager wear Crab Scale Armor	Змусьте селянина одягнути броню з крабової луски
questgroup_equipment		Strengthen Up	Зміцнення
questgroup_forest_mainquest		The Dark Forest	Темний ліс
rumor_combat_description		Some attack types are stronger against others. For example, Melee beats Magic!	Деякі типи атак сильніші проти інших. Наприклад, рукопашний бій перемагає магію!
rumor_combat_name		Combat	Бій
specialhit_bleeding_long		[chance]% chance to Bleed [target]	[chance]% шанс викликати кровотечу у [target]
specialhit_crit_long		[chance]% chance to do a Critical Hit on [target]	[chance]% шанс завдати [target] критичного удару
specialhit_damage_long		[chance]% chance to Damage [target]	[chance]% шанс завдати [target] шкоди
specialhit_frenzy_long		[chance]% chance to Frenzy [target]	[chance]% шанс на шаленство [target]
specialhit_heal_long		[chance]% chance to Heal [target]	[chance]% шанс зцілити [target]
specialhit_heallowest_long		[chance]% chance to Heal friendly with lowest health	[chance]% шанс зцілити союзника з найнижчим рівнем здоров'я
specialhit_invulnerable_long		[chance]% chance to make [target] Invulnerable	[chance]% шанс зробити [target] невразливим(и)
specialhit_lifesteal_long		[chance]% chance to Lifesteal from [target]	[chance]% шанс вкрасти здоров'я у [target]
specialhit_poison_long		[chance]% chance to Poison [target]	[chance]% шанс отруїти [target]
specialhit_stun_long		[chance]% chance to Stun [target]	[chance]% шанс оглушити [target]
statuseffect_bleeding_description		Deals damage every 2s for 10s	Завдає шкоди кожні 2 с протягом 10 с
statuseffect_bleeding_lore		It's gushing out	Воно витікає
statuseffect_bleeding_name		Bleeding	Кровотеча
statuseffect_frenzy_description		Increases attack speed for 10s	Збільшує швидкість атаки на 10 с
statuseffect_frenzy_lore		They're enraged	Вони розлючені
statuseffect_frenzy_name		Frenzy	Шаленство
statuseffect_invulnerable_description		Can't be damaged for 10s	Не отримує шкоди протягом 10 с
statuseffect_invulnerable_lore		A skin made of steel	Шкіра зі сталі
statuseffect_invulnerable_name		Invulnerable	Невразливість
target_allenemy		all enemies	всіх ворогів
target_allfriendly		all friendlies	всіх союзників
target_randomenemy		random enemy	випадкового ворога
target_randomfriendly		random friendly	випадкового союзника
target_self		self	себе
target_target		target	ціль
cardtype_humans		Villagers	Селяни
label_food_infobox		Every Moon you need [required_food_count] [foodicon] to feed your Villagers. You currently have [food_count] [foodicon]	Щодня вам потрібно [required_food_count] [foodicon], щоб нагодувати селян. Зараз у вас є [food_count] [foodicon]
label_food_infobox_warning		Get [foodicon] so you won't lose your Villagers!	Отримайте [foodicon], щоб не втратити ваших селян!
label_starving_humans		<one>There is not enough Food.. 1 Villager will starve of Hunger<other>There is not enough Food.. [count] Villagers will starve of Hunger	<one>Не вистачає їжі... 1 селянин загине від голоду<other>Не вистачає їжі... [count] селян загинуть від голоду
card_tuna_description		Chunky fish	Велика риба
card_cod_description		Wet and slippery fish	Мокра та слизька риба
card_mackerel_description		Small fish	Маленька риба
label_health		Max Health	Макс. здоров'я
label_wave		Wave [wave]	Хвиля [wave]
label_undiscovered_cards_tooltip		This pack still contains some undiscovered cards	У цьому пакунку все ще є кілька невідкритих карт
label_undiscovered_cards_tooltip_title		Undiscovered Cards	Невідкриті карти
rumor_dark_forest_name		Dark Forest	Темний ліс
rumor_dark_forest_description		There's a hidden world behind the Strange Portal	За дивним порталом ховається прихований світ
pack_equipment_text	Name of a Card Pack related to Combat	The Armory	Зброярня
label_ui_scale		UI Scale: [scale]	Розмір інтерфейсу: [scale]
label_ui_scale_100		100%	100%
label_ui_scale_80		80%	80%
label_ui_scale_60		60%	60%
pack_combat_intro_text		New Weaponry	Нова зброя
label_strange_portal_appeared_strong		It seems stronger than usual	Він здається сильнішим, ніж зазвичай
label_itemlevel		Item Level [level]	Рівень предмета: [level]
label_health_info		Health: [health]/[maxhealth]	Здоров'я: [health]/[maxhealth]
card_rare_portal_name		Rare Portal	Рідкісний портал
card_rare_portal_description		It looks threatening. I wonder if we can enter it?	Виглядає загрозливо. Цікаво, чи зможемо ми туди увійти?
label_forest_wave_endless_end2		You have finished the Dark Forest quest	Ви закінчили доручення «Темний ліс»
label_max_villager_in_portal		You can only take 7 Villagers in the portal	Ви можете пронести лише 7 селян через портал
card_stable_portal_description		A permanent portal to The Dark Forest. Can move 7 Cards. Time for revenge!	Постійний портал у Темний ліс. Може перемістити 7 карт. Час помститися!
label_update_title_forest		The Dark Forest Update	Оновлення Темного лісу
label_update_text_forest	The # adds newlines to the text. Please keep them	The latest update is here! We've added a new area, made big changes to the combat in the game, and added several quality of life fixes!##This update brings a lot of changes to the base game. For the best experience you should start a new run!	Оновлення вже тут! Ми додали нову область, внесли значні зміни в бій у грі та додали кілька виправлень до якості життя!##Це оновлення вносить багато змін в основну гру. Щоб отримати найкращий досвід, вам слід почати новий забіг!
card_militia_description		A villager that's ready to rumble.	Готовий до бою селянин.
card_swordsman_description		A villager that's ready to fight!	Готовий до бою селянин!
quest_pause_game_text		Pause using the play icon in the top right corner	Призупиніть гру використавши значок відтворення у верхньому правому куті
card_university_name		University	Університет
card_university_description_long		A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them. [count]/[max_count] Coins given.	Місце мудрості. Дає вам нову ідею за кожні [max_count] монет, які ви йому даруєте. [count]/[max_count] монет даровано.
card_university_description_completed		A place of wisdom. You've discovered all their Ideas.	Місце мудрості. Ви відкрили всі його ідеї.
idea_university_status_0		Building a University	Будівництво університету
label_invention_fullname		Invention: [name]	Винахід: [name]
card_lighthouse_name		Lighthouse	Маяк
card_lighthouse_description		Increases the board size past the Warehouse limit	Збільшує розмір дошки понад ліміти складу
idea_lighthouse_status_0		Building a Lighthouse	Будівництво маяка
card_resource_chest_name_override	[resource] is replaced by the resource the chest is holding, e.g. Wood Chest	[resource] Chest	Скриня для: [resource]
card_resource_chest_name		Resource Chest	Скриня ресурсів
card_resource_chest_description		A Chest for storing Resources	Скриня для зберігання ресурсів
card_resource_chest_description_long		A Chest containing [amount] [resource] 	Скриня, що містить [amount] [resource] 
idea_resourcechest_status_0		Building Resource Chest	Створення скрині ресурсів
card_resource_magnet_name		Resource Magnet	Ресурсний магніт
card_resource_magnet_name_override		[resource] Magnet	Магніт для: [resource]
card_resource_magnet_description		This card magically pulls cards of the same kind towards it	Ця карта чарівним чином притягує до себе карти такого ж типу
card_resource_magnet_description_long	[resource] is replaced by the resource the magnet is pulling, e.g. Wood Magnet	Magnet is pulling [resource]	Магніт, що притягує [resource]
idea_resource_magnet_status_0		Building a Resource Magnet	Створення ресурсного магніту
card_heavy_foundation_name		Magic Glue	Чарівний клей
card_heavy_foundation_description		Sticks the stack on top of it to the board and prevents it from moving	Приклеює стопку до дошки та запобігає її переміщенню
idea_heavy_foundation_status_0		Crafting Magic Glue	Виготовлення магічного клею
card_conveyor_name		Crane	Кран
card_conveyor_description		Lifts cards from one place to another	Переносить картки з одного місця на інше
card_conveyor_status		Lifting [resource]	Підіймає [resource]
idea_conveyor_status_0		Building a Crane	Будівництво крана
card_hotpot_name		Hotpot	Гарячий горщик
card_hotpot_description		A replenishable source of Food that your Villagers can eat from. Add Food and they'll eat from it at the end of the Moon!	Поновлюване джерело їжі, з якого можуть їсти жителі села. Додайте їжу, і вони будуть їсти її наприкінці Дня!
idea_hotpot_status_0		Building a Hotpot	Створення гарячого горщика
card_trash_can_name		Dustbin	Смітник
card_trash_can_description		Allows you to get rid of cards you don't want anymore	Дозволяє вам позбутися карток, які вам більше не потрібні
idea_trash_can_status_0		Building a Dustbin	Створення смітника
card_trash_can_status_0		Getting rid of Card	Позбавлення від картки
label_update_text_chaos	The # adds newlines to the text. Please keep them	Here's a new minor update! We've added a bunch of cards that will make life in the mid-game and late-game a lot more manageable.##There are cards that will help you with food management, resource management and even some cards you can use to set up some simple automation!##We've also fixed some bugs, as well as added quality of life fixes. Enjoy!	Ось нове незначне оновлення! Ми додали купу карток, які зроблять життя в середині та наприкінці гри набагато легшим. Є картки, які допоможуть вам керувати їжею, ресурсами та навіть деякі картки, які можна використовувати для налаштування певної автоматизації! Ми також виправили деякі помилки, а також додали виправлення якості життя. Насолоджуйтесь!
label_update_title_chaos		Order & Structure	Порядок і структура
label_menu_sub_title		Order & Structure	Порядок і структура
card_breeding_pen_name		Breeding Pen	Розплідник
card_breeding_pen_description		A pen for breeding Animals	Загін для розведення тварин
idea_breedingpen_status_0		Building a Breeding Pen	Будівництво розплідника
action_breeding_status		Breeding Animals	Розведення тварин
action_slaughtering_status		Butchering animal	Забивання худоби
card_slaughter_house_name		Butchery	Бійня
card_slaughter_house_description		Sends animals on vacation	Відправляє тварин на відпочинок
idea_slaughterhouse_status_0		Building a Butchery	Будівництво бійні
card_wishing_well_name		Wishing Well	Колодязь бажань
card_wishing_well_description_long		<one>It gives you a wish for every [count] coins. You currently have [amount] wish<other>It gives you a wish for every [count] coins. You currently have [amount] wishes	<one>Це дає вам бажання за кожну [count] монету. Зараз у вас є [amount] бажання<other>Це дає вам бажання за кожні [count] монет. Зараз у вас є [amount] бажань
card_wishing_well_wish_1		Aah! My first wish	Ааа! Моє перше бажання
card_wishing_well_wish_2		I'm feeling lucky!	Мені пощастить!
card_wishing_well_wish_5		Oh happy days!	О щасливі дні!
card_wishing_well_wish_10		I really hope this Wishing Well does something?	Я справді сподіваюся, що цей колодязь бажань щось дає?
card_wishing_well_wish_20		I sure am spending a lot of money on wishes	Я витрачаю забагато грошей на бажання
card_wishing_well_wish_50		This isn't going anywhere. I should stop buying wishes	Він нікуди не дінеться. Я маю припинити купувати бажання
idea_wishing_well_status_0		Building a Wishing Well	Будівництво колодязя бажань
card_brickyard_status		Making a Brick	Виготовлення цегли
card_sawmill_status		Making a Plank	Виготовлення дошки
label_one_villager_needs_to_stay_island		At least one Villager needs to stay on the Island	Принаймні один селянин повинен залишитися на острові
card_university_status		Researching	Дослідження
card_altar_description		Used for summoning Spirits	Використовується для виклику духів
card_altar_name		Altar	Вівтар
card_angry_royal_description		You have angered the most important man alive	Ви розлютили найважливішу людину з усіх живих
card_angry_royal_name		Angry Royal	Сердитий Король
card_animal_cage_description		Can hold 1 Animal	Може містити 1 тварину
card_animal_cage_name		Animal Cage	Клітка для тварин
card_animal_cage_status_0		Building an Animal Cage	Будівництво клітки для тварин
card_animal_eating_status		Eating Wheat	Вживання пшениці
card_animal_old_name		Old [name]	Старий [name]
card_animal_pen_status		[name] is producing [card]	[name] виробляє [card]
card_baby_dragon_description		A magic dinosaur	Чарівний динозавр
card_baby_dragon_name		Baby Dragon	Малюк дракон
card_barrel_description		Turns wet mixtures into different wet mixtures	Перетворює вологі суміші в інші вологі суміші
card_barrel_name		Barrel	Бочка
card_barrel_status_0		Building a Barrel	Будівництво бочки
card_beer_description		Water and wheat. Iconic duo.	Вода і пшениця. Культовий дует.
card_beer_name		Beer	Пиво
card_beer_status_0		Brewing Beer	Варіння пива
card_book_description		Videogames, but for nerds	Відеоігри, але для ботанів
card_book_name		Book	Книга
card_book_status_0		Making a Book	Виготовлення книги
card_bread_description		Who doesn't love it	Хто його не любить
card_bread_name		Bread	Хліб
card_bread_status_0		Baking Bread	Випічка хліба
card_cat_description		Cute and mean	Милий і злий
card_cat_name		Cat	Кіт
card_charity_description		Generates 1 Happiness for every [amount] Coins you give it	Генерує 1 щастя за кожні [amount] монет, які ви йому даєте
card_charity_name		Charity	Благодійний фонд
card_charity_status_0		Building a Charity	Створення благодійного фонду
card_charity_status_active		Giving to Charity	Жертвування на благодійність
card_cheese_description		It tastes like Gouda	На смак нагадує гауду
card_cheese_name		Cheese	Сир
card_cheese_status_0		Making Cheese	Виготовлення сиру
card_corpse_name_long		Corpse of [name]	Труп [name]
card_corpse_remove		Burying Corpse	Поховання трупа
card_crown_description		Pretend to be a Royal	Дає прикинутися Королем
card_crown_name		Crown	Корона
card_crown_status_0		Making a Crown	Виготовлення корони
card_curse_happiness_description		Your Villagers need Happiness every [month] moons.	Вашим селянам потрібне щастя кожні [month] дні.
card_death_curse_description		Death, but no taxes. Villagers grow old and get sick.	Смерть, зате без податків. Селяни старіють і хворіють.
card_death_curse_name		Curse of Death	Прокляття смерті
card_death_recipe_description		Offering Raw Meat at the Altar will summon a spirit	Жертвування сирого м'яса вівтарю викличе духа
card_death_recipe_name		World of Death	Світ смерті
card_death_spirit_description		From a far away world, where Villagers get old and sick	З далекого світу, де старіють і хворіють селяни
card_death_spirit_name		Spirit of Death	Дух смерті
card_display_spirit_dlc_description		Buy the Cursed Worlds DLC to get access to these cards	Придбайте DLC «Прокляті світи», щоб отримати доступ до цих карток
card_display_spirit_dlc_name		Cursed Worlds	Прокляті світи
card_dough_description		It passes the windowpane test	Він проходить відкриту перевірку
card_dough_name		Dough	Тісто
card_dough_status_0		Making Dough	Приготування тіста
card_dragon_egg_description		A big speckled chicken egg	Велике куряче яйце з крапками
card_dragon_egg_name		Dragon Egg	Драконяче яйце
card_dragon_egg_name_cracked		Cracked Dragon Egg	Розбите драконяче яйце
card_dragon_scale_armor_description		A nice piece of armor, but at what cost...	Хороший обладунок, але якою ціною...
card_dragon_scale_armor_name		Dragonscale Armor	Драконячий обладунок
card_euphoria_description		A feeling or state of intense excitement and happiness	Почуття або стан сильного хвилювання та щастя
card_euphoria_name		Euphoria	Ейфорія
card_euphoria_status_0		Creating Euphoria	Створення ейфорії
card_fiend_description		A large, demon-like creature	Велика, демоноподібна істота
card_fiend_name		Fiend	Нечисть
card_fish_chips_description		Not to be confused with Fish and Crisps	Не плутати з рибою та чіпсами
card_fish_chips_name		Fish and Chips	Риба і чіпси
card_fish_chips_status_0		Making Fish and Chips	Приготування риби з чіпсами
card_flour_description		Sandy. The main ingredient for Dough	Основний інгредієнт для пісочного тіста
card_flour_mill_description		Turns Wheat into Flour	Перетворює пшеницю на борошно
card_flour_mill_name		Flour Mill	Млин
card_flour_name		Flour	Борошно
card_fountain_of_youth_description		Lifts the Curse of Death	Знімає прокляття смерті
card_fountain_of_youth_name		Fountain of Youth	Фонтан молодості
card_fountain_of_youth_status_0		Creating The Fountain of Youth	Створення фонтану молодості
card_french_fries_description		Crispy Potato	Хрустка картопля
card_french_fries_name		French Fries	Картопля фрі
card_french_fries_status_0		Frying French Fries	Смаження картоплі фрі
card_ghoul_description		A haunted spirit	Переслідуваний дух
card_ghoul_name		Ghoul	Гуль
card_grape_description		It's just a fancy berry	Це просто чудернацька ягода
card_grape_name		Grape	Виноград
card_grape_pulp_description		A slurry of Grapes	Суспензія з винограду
card_grape_pulp_name		Grape Pulp	Виноградна каша
card_grape_pulp_status_0		Stomping Grapes	Топтання винограду
card_grape_vine_description		Stringy berry bush	В'юнкий ягідний кущ
card_grape_vine_name		Grape Vine	Виноградна лоза
card_grape_vine_status		Harvesting Grapes	Збирання винограду
card_greed_curse_description		A Greedy Royal rules the land. Fulfill his demands.	Землею править жадібний Король. Виконуйте його вимоги.
card_greed_curse_name		Curse of Greed	Прокляття жадібності
card_greed_recipe_description		Offering the Altar a Coin will summon a spirit	Жертвування монети вівтарю викличе духа
card_greed_recipe_name		World of Greed	Світ жадібності
card_greed_spirit_description		From a far away world, where a Royal rules the land	З далекого світу, де Король править землею
card_greed_spirit_name		Spirit of Greed	Дух жадібності
card_happiness_curse_description		Everyone needs Happiness.	Щастя потрібне всім.
card_happiness_curse_name		Curse of Sadness	Прокляття смутку
card_happiness_description		A single unit of Happiness. It keeps Villagers happy	Одиниця щастя. Робить селян щасливими
card_happiness_name		Happiness	Щастя
card_happiness_recipe_description		Offering Charcoal at the Altar will summon a spirit	Жертвування вугілля вівтарю викличе духа
card_happiness_recipe_name		World of Sadness	Світ смутку
card_happiness_spirit_description		From a far away world where Villagers get sad	З далекого світу, де сумують селяни
card_happiness_spirit_name		Spirit of Sadness	Дух смутку
card_herbal_tea_description		Makes you feel better	Змушує вас почуватись краще
card_herbal_tea_name		Herbal Tea	Трав'яний чай
card_herbal_tea_status_0		Making Herbal Tea	Приготування трав'яного чаю
card_herbal_tea_status_1		Curing Villager	Зцілення селянина
card_herbs_description		Leaves with flavor	Ароматне листя
card_herbs_name		Herbs	Трави
card_hop_plant_status_0		Gathering Hop	Збір хмелю
card_horse_description		Weird looking cow	Дивна на вигляд корова
card_horse_name		Horse	Кінь
card_human_poop_description		It's extra smelly	Це надзвичайно смердюче
card_human_poop_name		Villager Poop	Лайно селянина
card_imp_description		A nasty lil creature	Огидна маленька істота
card_imp_name		Imp	Бісеня
card_jester_description		Fun at parties	Робить вечірки веселими
card_jester_hat_description		Makes you look like a clown	Робить вас схожим на клоуна
card_jester_hat_name		Jester's Hat	Капелюх блазня
card_jester_hat_status_0		Creating a Jester's Hat	Виготовлення капелюха блазня
card_jester_name		Jester	Блазень
card_kitten_description		Fluffy cuteness	Пухнаста миловидність
card_kitten_name		Kitten	Кошеня
card_merchant_description		Selling a Dragon Egg for 100 Coins!	Продам яйце дракона за 100 монет!
card_merchant_description_2		Selling a Dragon Egg for 100 Coins! Still needs [coinsNeeded] Coins.	Продам яйце дракона за 100 монет! Потрібно ще [coinsNeeded] монет.
card_merchant_name		Merchant	Торговець
card_museum_description		Turns Resources into Happiness, for each new Resource it's given	Перетворює ресурси на щастя за кожен новий наданий ресурс
card_museum_name		Museum	Музей
card_museum_status_0		Building a Museum	Будівництво музею
card_naming_stone_description		No more forgetting who's who!	Досить забувати, хто є хто!
card_naming_stone_name		Naming Stone	Камінь імені
card_naming_stone_status_0		Building a Naming Stone	Створення каменю імені
card_old_cat_description		Grumpy sometimes	Іноді сварливий
card_old_cat_name		Old Cat	Старий кіт
card_old_dog_description		Still adorable	Все ще чарівний
card_old_dog_name		Old Dog	Старий пес
card_old_villager_description		Life's flashing before their eyes	Життя проминає перед очима
card_old_villager_name		Old Villager	Старий селянин
card_olive_description		Mediterranean classic	Середземноморська класика
card_olive_name		Olive	Оливка
card_olive_oil_description		Tasty olive juice	Смачний оливковий сік
card_olive_oil_name		Olive Oil	Оливкова олія
