Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
card_bread_status_0		Baking Bread	Brood aan 't bakken	Cuisson d'un Pain	Sto facendo il Pane	Brot backen	Horneando pan		Piecze Chleb	烤面包	正在製作麵包	パンを調理中	빵 굽는 중
card_cat_description		Cute and mean	Schattig en gemeen	Mignon et méchant	Carino e perfido.	Niedlich und gemein	Adorable y cruel		Uroczy i złośliwy	又可爱又刻薄	可愛又頑皮	カワイイけどそっけない	귀엽고 심술궂음
card_cat_name		Cat	Kat	Chat	Gatto	Katze	Gato		Kot	猫	貓	猫	고양이
card_charity_description		Generates 1 Happiness for every [amount] Coins you give it	Voor elke [amount] Munten die je geeft, krijg je 1 Blijdschap	Produit 1 Bonheur toutes les [amount] pièces données	Genera 1 Felicità per ogni [amount] Monete che gli dai.	Generiert 1 Glück pro [amount] Münzen, die du ihr gibst	Produce 1 carta de felicidad por cada [amount] monedas que le des.		Generuje 1 pkt. Szczęścia za każde [amount] szt. Monet	你每给它[amount]枚硬币，就能获得1点幸福	每捐贈[amount]枚金幣，就收產1點快樂	[amount]コイン寄付するたびに幸福を1つ生産する	[amount]코인을 줄 때마다 행복 1만큼을 생산함
card_charity_name		Charity	Goed doel	Charité	Ente di beneficenza	Wohlfahrtsorganisation	Beneficencia		Organizacja Dobroczynna	慈善机构	慈善組織	慈善団体	자선 단체
card_charity_status_0		Building a Charity	Goed doel aan 't maken	Fabrication d'une Charité	Sto costruendo un Ente di beneficenza	Wohlfahrtsorganisation einrichten	Construyendo una beneficencia		Buduje Organizację Dobroczynną	修建一个慈善机构	正在建立慈善組織	慈善団体を設立中	자선 단체 건설 중
card_charity_status_active		Giving to Charity	Aan Goed doel aan 't geven	Don à une Charité	Sto donando a un Ente di beneficenza	Wohlfahrtsorganisation spenden	Donando a una beneficencia		Daje pieniądze Organizacji Dobroczynnej	向慈善机构捐赠	捐贈慈善組織	寄付を実施中	자선 단체에 기부하는 중
card_cheese_description		It tastes like Gouda	Smaakt naar Gouda	Ça a le goût du comté ou de l'abondance	Ha il sapore del Gouda.	Er schmeckt wie Gouda	Sabe como a gouda.		Smakuje jak gouda	味道很像豪达奶酪	嘗起來好像是豪達起司	味はゴーダチーズだ	고다 맛 같은데
card_cheese_name		Cheese	Kaas	Fromage	Formaggio	Käse	Queso		Ser	奶酪	起司	チーズ	치즈
card_cheese_status_0		Making Cheese	Kaas aan 't maken	Fabrication d'un Fromage	Sto producendo il Formaggio	Käse herstellen	Preparando queso		Robi Ser	制作奶酪	正在製作起司	チーズを製造中	치즈 만드는 중
card_corpse_name_long		Corpse of [name]	Lijk van [name]	Cadavre de : [name]	Cadavere di [name]	Leichnam von [name]	Cadáver de [name]		Truposz ([name])	[name]的尸体	[name]的屍體	[name]の死体	[name]의 시체
card_corpse_remove		Burying Corpse	Lijk begraven	Enterrement d'un Cadavre	Sto seppellendo un Cadavere	Leichnam begraben	Enterrando un cadáver		Grzebie Truposza	埋葬尸体	正在埋葬屍體	死体を埋葬中	시체 묻는 중
card_crown_description		Pretend to be a Royal	Doe alsof je blauw bloed hebt	Pour faire semblant d'être un aristocrate	Fingi di essere un Re.	Gib vor, von königlichem Blut zu sein	Para fingir ser de la realeza.		Możesz udawać Króla	假装是个国王	假裝是王家	心は王様	왕인 척해 보세요
card_crown_name		Crown	Kroon	Couronne	Corona	Krone	Corona		Korona	王冠	冠冕	ピエロ	왕관
card_crown_status_0		Making a Crown	Kroon aan 't maken	Fabrication d'une Couronne	Sto producendo una Corona	Eine Krone herstellen	Fabricando una corona		Tworzy Koronę	制作一顶王冠	正在製作冠冕	ピエロを作成中	왕관 만드는 중
card_curse_happiness_description		Your Villagers need Happiness every [month] moons.	Je Dorpelingen hebben elke [month] Manen Blijdschap nodig.	Vos Villageois ont besoin de Bonheur toutes les [month] Lunes	I tuoi Abitanti hanno bisogno di Felicità ogni [month] Lune.	Deine Dorfbewohner brauchen alle [month] Monde Glück	Tus aldeanos necesitan felicidad cada [month] lunas.		Co kilka ([month]) miesięcy twoi Wieśniacy będą potrzebowali Szczęścia.	你的村民们每[month]个月亮年就需要获得幸福	你的村民每[month]個月需要快樂	[month]月齢を迎えるたびに、村人は幸福を必要とする。	주민들에겐 [month]달마다 행복이 필요합니다.
card_death_curse_description		Death, but no taxes. Villagers grow old and get sick.	Dood, maar geen belasting. Dorpelingen worden oud en ziek.	Les Villageois vieillissent et peuvent tomber malades	Morte, ma niente tasse. Gli Abitanti invecchiano e si ammalano.	Tod, aber keine Steuern – Dorfbewohner werden alt und krank	Más muertes, pero sin impuestos. Los aldeanos envejecen y enferman.		Śmierć, ale bez podatków. Wieśniacy starzeją się i chorują.	有死亡，但没有税收。村民们会变老和生病。	死亡，但不用繳稅。村民會變老及生病。	死は避けられないもの。村人は歳を取って病気にもなる。	죽음은 있지만, 세금 걱정은 없습니다. 주민들이 나이가 들며 병들게 됩니다.
card_death_curse_name		Curse of Death	Vloek des doods	Malédiction de Mort	Maledizione della Morte	Fluch des Todes	Maldición de la muerte		Klątwa Śmierci	死亡诅咒	死亡的詛咒	死の呪い	죽음의 저주
card_death_recipe_description		Offering Raw Meat at the Altar will summon a spirit	Offer Rauw vlees aan het Altaar om een Geest op te roepen	Offrez de la Viande crue à l'Autel pour invoquer un Esprit	Offrire Carne cruda all'Altare evocherà uno Spirito.	Wenn du dem Altar rohes Fleisch opferst, beschwörst du einen Geist	Se invocará a un espíritu ofreciendo carne cruda al altar.		Ofiarowanie Surowego Mięsa na Ołtarzu spowoduje przywołanie Ducha	在圣坛上献上生肉可以召唤一个魂灵	給予祭壇生肉會召喚一個精靈	祭壇に生肉を供えると、精霊が姿を現す	제단에 생고기를 바치면 영혼을 소환합니다
card_death_recipe_name		World of Death	Wereld des doods	Monde mortel	Mondo della Morte	Welt des Todes	Mundo de la muerte		Świat Śmierci	死亡世界	死亡的世界	死の世界	죽음의 세계
card_death_spirit_description		From a far away world, where Villagers get old and sick	Van een wereld hier ver vandaan waar Dorpelingen oud en ziek worden	Dans un monde lointain, les Villageois vieillissent et tombent malades	Da un mondo lontano dove gli Abitanti invecchiano e si ammalano.	Aus einer fernen Welt, in der Dorfbewohner alt und krank werden	Procedente de un mundo lejano en el que los aldeanos envejecen y enferman.		Przybywa z dalekiego świata, gdzie Wieśniacy starzeją się i chorują	来自一个村民们会变老和生病的遥远世界	一個遙遠的世界，在那裡村民會變老及生病	村人が歳を取って病気になる遠い世界からやって来た	주민들이 나이가 들고 병드는 머나먼 세계에서 건너왔습니다
card_death_spirit_name		Spirit of Death	Geest des doods	Esprit de Mort	Spirito della Morte	Geist des Todes	Espíritu de la muerte		Duch Śmierci	死亡之灵	死亡的精靈	死の精霊	죽음의 영혼
card_display_spirit_dlc_description		Buy the Cursed Worlds DLC to get access to these cards	Koop de DLC Cursed Worlds en krijg toegang tot deze kaarten	Achetez le DLC Cursed Worlds pour accéder à ces cartes.	Acquista il DLC Cursed Worlds per ottenere l'accesso a queste carte.	Kaufe den „Cursed Worlds“-DLC, um Zugriff auf diese Karten zu erhalten	Compra el DLC: Cursed Worlds para conseguir acceso a estas cartas.		Kup DLC Cursed Worlds, aby zyskać dostęp do tych kart	购买“Cursed Worlds DLC”来获得这些卡牌	購買被詛咒的世界DLC以取得這些卡片	DLC『Cursed Worlds』を購入して、これらのカードをゲットしよう	이 카드들을 이용하려면 Cursed Worlds DLC를 구매하세요
card_display_spirit_dlc_name		Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds	Cursed Worlds		Cursed Worlds	Cursed Worlds	被詛咒的世界	Cursed Worlds	Cursed Worlds
card_dough_description		It passes the windowpane test	Vliesje trekken: gelukt	Elle passe le test de la fenêtre	Supera la prova di trasparenza.	Er besteht den Fenstertest	Ha superado la prueba de la ventana.		Przechodzi test szyby	它通过了玻璃窗测试	它通過了玻璃窗測試	薄く伸ばしても切れない良い生地だ	잘 늘어남
card_dough_name		Dough	Deeg	Pâte	Impasto	Teig	Masa		Ciasto	面团	麵團	生地	밀가루 반죽
card_dough_status_0		Making Dough	Deeg aan 't maken	Préparation de Pâte	Sto preparando l'Impasto	Teig zubereiten	Elaborando una masa		Tworzy Ciasto	制作面团	正在製作麵團	生地を準備中	밀가루 반죽 만드는 중
card_dragon_egg_description		A big speckled chicken egg	Een groot, bestippeld kippenei	Un gros œuf tacheté	Un grosso uovo di gallina maculato.	Ein großes, gesprenkeltes Hühnerei	Un gran huevo de gallina moteado.		Duże, nakrapiane kurze jajo	一个有斑点的大鸡蛋	一顆帶斑大雞蛋	大きなぶち模様のニワトリのタマゴ	작은 반점이 있는 큰 달걀
card_dragon_egg_name		Dragon Egg	Drakenei	Œuf de dragon	Uovo di Drago	Drachenei	Huevo de dragón		Smocze Jajo	龙蛋	龍蛋	ドラゴンのタマゴ	용의 알
card_dragon_egg_name_cracked		Cracked Dragon Egg	Gebarsten drakenei	Œuf de dragon fissuré	Uovo di Drago aperto	Aufgeknacktes Drachenei	Huevo de dragón roto		Pęknięte Smocze Jajo	裂开的龙蛋	裂開的龍蛋	ヒビの入ったドラゴンのタマゴ	금이 간 용의 알
card_dragon_scale_armor_description		A nice piece of armor, but at what cost...	Een mooi pantser, met een vreselijk prijskaartje	Une belle armure, mais à quel prix…	Un bel pezzo di armatura, ma a quale prezzo...	Ein schönes Stück Rüstung, aber zu welchem Preis ...	Una buena armadura, pero a qué precio...		Fajny pancerz, ale za jaką cenę...	一件漂亮的护甲，但代价是……	一件漂亮的盔甲，但代價不斐…	かなり上物のアーマーだけど、代償はつきもの…	훌륭한 방어구이지만, 대가로 뭘 치러야 할까요...
card_dragon_scale_armor_name		Dragonscale Armor	Drakenschubpantser	Armure d'écailles de dragon	Armatura a scaglie di Drago	Drachenschuppen-Rüstung	Armadura de escama de dragón		Pancerz ze Smoczej Łuski	龙鳞护甲	龍鱗盔甲	ドラゴンスケイルアーマー	용의 비늘 방어구
card_euphoria_description		A feeling or state of intense excitement and happiness	Een gevoel van intense opwinding en Blijdschap	Sentiment ou état de bonheur et d'excitation intenses	Una sensazione o uno stato di intenso entusiasmo e felicità.	Ein Gefühl oder Zustand intensiver Aufregung und Glückseligkeit	Un sentimiento o estado de felicidad y emoción extrema.		Uczucie intensywnej ekscytacji i radości	一种强烈的兴奋和幸福感	一種強烈的興奮和快樂的感覺或狀態	強い興奮や幸福を感じている状態やその感情のこと	강렬한 흥분과 행복의 감정 혹은 상태
card_euphoria_name		Euphoria	Euforie	Euphorie	Euforia	Euphorie	Euforia		Euforia	愉悦	狂喜	高揚	희열
card_euphoria_status_0		Creating Euphoria	Euforie aan 't maken	Génération d'Euphorie	Sto creando l'Euforia	Euphorie erzeugen	Creando euforia		Tworzy Euforię	创造愉悦	正在孕育狂喜	高揚を生成中	희열 만드는 중
card_fiend_description		A large, demon-like creature	Een groot, demonachtig wezen	Grosse créature démoniaque	Un'enorme creatura simile a un demone.	Eine große, dämonenartige Kreatur	Una enorme criatura demoníaca.		Duży potwór-demon	一个巨大的、魔鬼般的生物。	一個巨大的、惡魔般的生物。	図体の大きい悪魔に似た生き物	거대하고 악마 같은 생물체
card_fiend_name		Fiend	Bosduivel	Créature	Demonio	Ungeheuer	Demonio		Bies	恶魔	魔鬼	魔物	마귀
card_fish_chips_description		Not to be confused with Fish and Crisps	Is het nou patat of friet? Hier is het chips.	Ce n'est pas un simple poisson pané	Da non confondere con pesce e patatine croccanti.	Nicht zu verwechseln mit Fisch und Chips	Las patatas no son de bolsa.		Nie mylić z rybą z ziemniakami	别和炸鱼薯片弄混了	別混淆成炸魚加洋芋片了	チップスはスナック菓子じゃなくてホクホクの方	칩스는 감자칩이 아닙니다
card_fish_chips_name		Fish and Chips	Fish & chips	Fish & chips	Pesce e patatine fritte	Fisch und Fritten	Pescado con patatas		Ryba z Frytkami	炸鱼薯条	炸魚薯條	フィッシュ・アンド・チップス	피시 앤 칩스
card_fish_chips_status_0		Making Fish and Chips	Fish & chips aan het makken	Préparation de Fish & chips	Sto preparando Pesce e patatine fritte	Fisch und Fritten herstellen	Preparando pescado con patatas		Przyrządza Rybę z Frytkami	制作炸鱼薯条	正在製作炸魚薯條	フィッシュ・アンド・チップスを調理中	피시 앤 칩스 만드는 중
card_flour_description		Sandy. The main ingredient for Dough	Vol zand. Het hoofdingrediënt voor Deeg	Composant principal de la Pâte	Questa sostanza sabbiosa è l'ingrediente principale dell'Impasto.	Sandig – Hauptzutat für einen Teigs	Arena. El ingrediente principal para la masa.		Jak piasek. Główny składnik Ciasta	呈沙粒状。是制作面团的主要原料	沙沙的。麵團的基本原料	肌ざわりはサラサラ。生地のほとんどはコレで出来ている	모래 같은 가루. 밀가루 반죽의 주 재료
card_flour_mill_description		Turns Wheat into Flour	Zet Tarwe om in Meel	Transforme du Blé en Farine	Trasforma il Grano in Farina.	Macht Weizen zu Mehl	Convierte el trigo en harina.		Zmienia Zboże w Mąkę	把小麦磨成面粉	把小麥變成麵團	麦を小麦粉に変える	밀을 가루로 바꿈
card_flour_mill_name		Flour Mill	Windmolen	Moulin	Mulino	Getreidemühle	Molino de harina		Młyn	面粉厂	小麥粉磨坊	製粉機	밀가루 제분소
card_flour_name		Flour	Meel	Farine	Farina	Mehl	Harina		Mąka	面粉	小麥粉	小麦粉	밀가루
card_fountain_of_youth_description		Lifts the Curse of Death	Verbreekt de Vloek des doods	Lève la Malédiction de Mort	Spezza la Maledizione della Morte.	Bricht den Fluch des Todes	Elimina la maldición de la muerte		Zdejmuje Klątwę Śmierci	解除死亡诅咒	解除死亡的詛咒	死の呪いを解く	죽음의 저주를 풀어줌
card_fountain_of_youth_name		Fountain of Youth	Bron der eeuwige jeugd	Fontaine de jouvence	Fontana della giovinezza	Jungbrunnen	Fuente de la juventud		Zdrój Młodości	青春之泉	不老泉	若さの泉	젊음의 분수
card_fountain_of_youth_status_0		Creating The Fountain of Youth	Bron der eeuwige jeugd aan 't maken	Fabrication d'une Fontaine de jouvence	Sto creando la Fontana della giovinezza	Einen Jungbrunnen herstellen	Creando la fuente de la juventud		Tworzy Zdrój Młodości	制作青春之泉	正在建造不老泉	若さの泉を建造中	젊음의 분수 만드는 중
card_french_fries_description		Crispy Potato	Knapperige aardappels	Pommes de terre pelées, découpées puis frites	Patata croccante.	Knackige Kartoffel	Patata crujiente		Chrupkji Ziemnak	酥脆的土豆	脆馬鈴薯	カリカリのジャガイモ	바삭한 감자
card_french_fries_name		French Fries	Franse frietjes	Frites	Patatine fritte	Pommes Frites	Patatas fritas		Frytki	薯条	炸薯條	フライドポテト	감자튀김
card_french_fries_status_0		Frying French Fries	Franse frietjes aan 't frituren	Préparation de Frites	Sto friggendo le Patatine fritte	Pommes Frites braten	Preparando patatas fritas		Smaży Frytki	炸薯条	正在炸薯條	フライドポテトを調理中	감자튀김 튀기는 중
card_ghoul_description		A haunted spirit	Een vervloekte geest	Esprit maléfique	Uno spirito inquieto.	Ein geplagter Geist	Un espíritu embrujado.		Udręczony duch	一个满面愁容的魂灵	一個被詛咒的魂魄	悪魔的な怪物	귀신 들린 영혼
card_ghoul_name		Ghoul	Kwelgeest	Goule	Ghoul	Ghul	Gul		Ghul	食尸鬼	食屍鬼	グール	구울
card_grape_description		It's just a fancy berry	Gewoon een luxe bes	Une sorte de baies	È solo una bacca elegante.	Nur eine hübsche Beere	Solo es una baya sofisticada.		Jagody na bogato	只是一种奇特的浆果	這正是一顆特別的莓果	ベリーグッドなベリー	그냥 예쁜 베리류 열매입니다
card_grape_name		Grape	Druif	Raisin	Uva	Traube	Uva		Winogrona	葡萄	葡萄	ブドウ	포도
card_grape_pulp_description		A slurry of Grapes	Geperste druiven	Bouillie de raisins	Una poltiglia d'Uva.	Ein Brei aus Weintrauben	Una papilla hecha de uvas.		Winogronowa pulpa	一堆葡萄泥	打成泥狀的葡萄	ブドウのベタベタ部分	걸쭉하게 으깬 포도
card_grape_pulp_name		Grape Pulp	Druivendrap	Pulpe de raisin	Polpa dell'Uva	Traubenmaische	Papilla de uvas		Pulpa z Winogron	葡萄果肉	葡萄漿	ブドウの果肉	포도 과육
card_grape_pulp_status_0		Stomping Grapes	Druiven aan 't stampen	Pressage de raisins	Sto pestando l'Uva	Trauben stampfen	Pisando uvas		Miażdży Winogrona	踩葡萄	正在榨葡萄	ブドウを踏みつぶし中	포도 밟는 중
card_grape_vine_description		Stringy berry bush	Een klimmende bessenstruik	Buisson à raisin	Cespuglio di bacche filanti.	Holziger Beerenstrauch	Un arbusto de bayas con mucha fibra.		Włóknisty krzak z jagodami	细长而稀疏的浆果灌木	多絲的莓果灌木叢	クルクルの付いたベリーの茂み	줄기가 가느다란 열매 덤불
card_grape_vine_name		Grape Vine	Druivenstok	Vigne	Vite	Weinrebe	Parra de uva		Winorośl	葡萄藤	葡萄藤	ブドウのつる	포도 덩굴
card_grape_vine_status		Harvesting Grapes	Druiven aan 't plukken	Récolte de raisin	Sto raccogliendo l'Uva	Trauben ernten	Cosechando uvas		Zbiera Winogrona	收获葡萄	正在採收葡萄	ブドウを収穫中	포도 수확 중
card_greed_curse_description		A Greedy Royal rules the land. Fulfill his demands.	Een hebberige Koning regeert het rijk. Voldoe aan zijn eisen.	Un souverain capricieux contrôle ces terres. Exécutez ses ordres.	Un Re avido domina questo regno. Soddisfa le sue richieste.	Ein habgieriger König herrscht über das Land – erfülle seine Forderungen!	El territorio está gobernado por un rey codicioso. Cumple con sus exigencias.		Chciwy Król rządzi tym krajem. Spełnij jego żądania.	一位贪婪的国王统治着这片土地。要一切满足他的要求。	一個貪婪的王家主宰了領地。完成他的要求。	欲深い王様に国は支配されている。みんな彼の言いなりだ。	탐욕스러운 왕이 땅을 통치합니다. 그의 요구를 들어주세요.
card_greed_curse_name		Curse of Greed	Vloek der hebberigheid	Malédiction de Cupidité	Maledizione dell'Avidità	Fluch der Habgier	Maldición de la codicia		Klątwa Chciwości	贪婪诅咒	貪婪的詛咒	強欲の呪い	탐욕의 저주
card_greed_recipe_description		Offering the Altar a Coin will summon a spirit	Offer een Munt aan het Altaar om een Geest op te roepen	Offrez une pièce à l'Autel pour invoquer un Esprit	Offrire una Moneta all'Altare evocherà uno Spirito.	Wenn du dem Altar eine Münze opferst, beschwörst du einen Geist	Se invocará a un espíritu ofreciendo una moneda al altar.		Ofiarowanie Monety na Ołtarzu spowoduje przywołanie Ducha	在圣坛上献上一枚硬币可以召唤一个魂灵	給予祭壇金幣會召喚一個精靈	祭壇にコインを供えると、精霊が姿を現す	제단에 코인을 바치면 영혼을 소환합니다
card_greed_recipe_name		World of Greed	Wereld der hebberigheid	Monde cupide	Mondo dell'Avidità	Welt der Habgier	Mundo de la codicia		Świat Chciwości	贪婪世界	貪婪的世界	強欲の世界	탐욕의 세계
card_greed_spirit_description		From a far away world, where a Royal rules the land	Van een wereld hier ver vandaan waar een Koning heerst	Dans un monde lointain régi par un souverain capricieux	Da un mondo lontano dove un Re domina il regno.	Aus einer fernen Welt, in der ein König das Land regiert	Procedente de un mundo lejano en el que gobierna un rey.		Przybywa z dalekiego świata, gdzie rządzi Król	来自一个受国王统治的遥远世界	一個遙遠的世界，在那裡一位王家主宰了領地	王様が国を治める遠い世界からやって来た	왕이 땅을 통치하는 머나먼 세계에서 건너왔습니다
card_greed_spirit_name		Spirit of Greed	Geest der hebberigheid	Esprit de Cupidité	Spirito dell'Avidità	Geist der Habgier	Espíritu de la codicia		Duch Chciwości	贪婪之灵	貪婪的精靈	強欲の精霊	탐욕의 영혼
card_happiness_curse_description		Everyone needs Happiness.	Iedereen heeft Blijdschap nodig.	Tout le monde a besoin de Bonheur	Tutti hanno bisogno di Felicità.	Alle wollen glücklich sein	Todo el mundo necesita felicidad.		Wszyscy potrzebują Szczęścia.	所有人都需要幸福。	所有人都需要快樂。	誰もが幸福を必要としている	모두가 행복을 필요로 합니다.
card_happiness_curse_name		Curse of Sadness	Vloek van verdriet	Malédiction de Tristesse	Maledizione della Tristezza	Fluch der Traurigkeit	Maldición de la tristeza		Klątwa Smutku	悲伤诅咒	悲傷的詛咒	悲しみの呪い	슬픔의 저주
card_happiness_description		A single unit of Happiness. It keeps Villagers happy	Een enkele eenheid Blijdschap. Hierdoor blijven Dorpelingen blij	Une unité de Bonheur pour préserver la joie de vivre des Villageois	Una singola unità di Felicità. Mantiene felici gli Abitanti.	Eine einzelne Einheit Glück, sie hält die Dorfbewohner bei guter Laune	Una única unidad de felicidad. Suficiente para mantener felices a los aldeanos.		Jednostka Szczęścia. Sprawia, że Wieśniacy są radośni	一点幸福感。可以让村民保持快乐	一個單位的快樂。它讓村民感到快樂	村人を幸せにしてくれる要素の単位	한 단위의 행복입니다. 주민을 행복하게 해줍니다
card_happiness_name		Happiness	Blijdschap	Bonheur	Felicità	Glück	Felicidad		Szczęście	幸福	快樂	幸福	행복
card_happiness_recipe_description		Offering Charcoal at the Altar will summon a spirit	Offer Houtskool aan het Altaar om een Geest op te roepen	Offrez du Charbon à l'Autel pour invoquer un Esprit	Offrire del Carbone all'Altare evocherà uno Spirito.	Wenn du dem Altar Kohle opferst, beschwörst du einen Geist	Se invocará a un espíritu ofreciendo carbón al altar.		Ofiarowanie Węgla na Ołtarzu spowoduje przywołanie Ducha	在圣坛上献上木炭可以召唤一个魂灵	給予祭壇木炭會召喚一個精靈	祭壇に木炭を供えると、精霊が姿を現す	제단에 목탄을 바치면 영혼을 소환합니다
card_happiness_recipe_name		World of Sadness	Wereld van verdriet	Monde triste	Mondo della Tristezza	Welt der Traurigkeit	Mundo de la tristeza		Świat Smutku	悲伤世界	悲傷的世界	悲しみの世界	슬픔의 세계
card_happiness_spirit_description		From a far away world where Villagers get sad	Van een wereld hier ver vandaan waar Dorpelingen verdrietig worden	Dans un monde lointain, les Villageois peuvent perdre leur joie de vivre	Da un mondo lontano dove gli Abitanti sono tristi.	Aus einer fernen Welt, in der die Dorfbewohner traurig werden	Procedente de un mundo lejano en el que los aldeanos están tristes.		Przybywa z dalekiego świata, gdzie Wieśniacy mogą się smucić	来自一个村民们会感到悲伤的遥远世界	一個遙遠的世界，在那裡村民會變得悲傷	村人が悲しみを感じる遠い世界からやって来た	주민들이 슬퍼지는 머나먼 세계에서 건너왔습니다
card_happiness_spirit_name		Spirit of Sadness	Geest van verdriet	Esprit de Tristesse	Spirito della Tristezza	Geist der Traurigkeit	Espíritu de la tristeza		Duch Smutku	悲伤之灵	悲傷的精靈	悲しみの精霊	슬픔의 영혼
card_herbal_tea_description		Makes you feel better	Hier voel je je beter door	Vous soulage et vous apaise	Ti fa sentire meglio.	Du fühlst dich gleich besser	Hace que te sientas mejor.		Sprawia, że czujesz się lepiej	让你感觉更好	讓你自己好過點	飲むと気分が落ち着く	몸이 나아지게 해줌
card_herbal_tea_name		Herbal Tea	Kruidenthee	Infusion	Tè alle erbe	Kräutertee	Té de hierbas		Herbata ziołowa	草药茶	藥草茶	ハーブティー	허브 차
card_herbal_tea_status_0		Making Herbal Tea	Kruidenthee aan het brouwen	Préparation d'une Infusion	Sto preparando del Tè alle erbe	Kräutertee herstellen	Preparando té de hierbas		Przyrządza Herbatę Ziołową	制作草药茶	正在製作藥草茶	ハーブティーを準備中	허브 차 만드는 중
card_herbal_tea_status_1		Curing Villager	Dorpeling aan 't genezen	Soigne un Villageois	Sto curando un Abitante	Dorfbewohner heilen	Curando a un aldeano		Leczy Wieśniaka	治愈村民	正在治癒村民	村人を癒し中	주민 치료 중
card_herbs_description		Leaves with flavor	Bladeren met een smaakje	Feuilles… aromatiques	Foglie con sapori.	Blätter mit Geschmack	Hojas de sabores		Aromatyczne liście	有味道的叶子	留下各種香味	味付きの葉っぱ	풍미가 있는 이파리
card_herbs_name		Herbs	Kruiden	Herbes aromatiques	Erbe aromatiche	Kräuter	Hierbas		Zioła	草药	藥草	ハーブ	허브
card_hop_plant_status_0		Gathering Hop	Hop aan 't verzamelen	Récolte de Houblon	Sto raccogliendo il Luppolo	Hopfen sammeln	Recolectando lúpulo		Zbiera Chmiel	采摘啤酒花	正在採收啤酒花	ホップを収集中	홉 따는 중
card_horse_description		Weird looking cow	Een rare koe	Drôle de vache	Mucca dall'aspetto strano.	Seltsam aussehende Kuh	Vaca de aspecto extraño.		Dziwna krowa	长相怪异的奶牛	長相奇特的母牛	牛にしては面白い姿だね	이상하게 생긴 소
card_horse_name		Horse	Paard	Cheval	Cavallo	Pferd	Caballo		Koń	马	馬	馬	말
card_human_poop_description		It's extra smelly	We laten ze een poepie ruiken	Dégage une odeur peu agréable	Fa un pessimo odore.	Das stinkt aber heftig	Huele demasiado.		Wyjątkowo śmierdząca	特别难闻	聞起來真夠嗆	くちゃい	엄청 지독한 냄새가 남
card_human_poop_name		Villager Poop	Dorpelingenpoep	Étron de villageois	Cacca dell'Abitante	Dorfbewohnerexkremente	Heces de aldeano		Kupa Wieśniaka	村民的粪便	村民的糞便	村人のウンチ	주민 똥
card_imp_description		A nasty lil creature	Een naar wezentje	Petite créature maléfique	Una creatura piccola e cattiva.	Eine lästige, kleine Kreatur	Una criaturita muy desagradable.		Mały śmierdziel	一个讨厌的小家伙	一個討厭的小生物	いたずらっ子の小さな生き物	작고 못된 생물체
card_imp_name		Imp	Duveltje	Lutin	Folletto	Wichtel	Diablillo		Imp	小鬼	小惡魔	インプ	임프
card_jester_description		Fun at parties	Leuk op feestjes	Met l'ambiance en soirée	Diverte alle feste.	Lustig auf Partys	Divertido para fiestas.		W sam raz na imprezy	在聚会上很好玩	在宴會上的笑料	パーティーの人気者	파티에서의 재미를 책임짐
card_jester_hat_description		Makes you look like a clown	Hiermee zie je eruit als een clown	Ne vous donne pas un air très sérieux	Ti fa sembrare un pagliaccio.	Lässt dich aussehen wie einen Clown	Hace que parezcas un payaso.		Wyglądasz w nim jak klaun	让你看上去像个小丑	讓你看起來像小丑	被るとピエロ気分	광대처럼 보이게 해줌
card_jester_hat_name		Jester's Hat	Narrenmuts	Chapeau de bouffon	Cappello da giullare	Narrenkappe	Gorro de bufón		Czapka Błazna	小丑的帽子	弄臣的帽子	道化師ハット	어릿광대의 모자
card_jester_hat_status_0		Creating a Jester's Hat	Narrenmuts aan 't maken	Fabrication d'un Chapeau de bouffon	Sto creando un Cappello da giullare	Eine Narrenkappe herstellen	Creando un gorro de bufón		Tworzy Czapkę Błazna	制作小丑的帽子	正在製作弄臣的帽子	道化師ハットを作成中	어릿광대의 모자 만드는 중
card_jester_name		Jester	Nar	Bouffon	Giullare	Narr	Bufón		Błazen	小丑	弄臣	道化師	어릿광대
card_kitten_description		Fluffy cuteness	Schattige haarbal	Boule de poils trop mignonne	Soffice dolcezza.	Flauschig und süß	Adorable y peludito.		Puchaty urok	毛茸茸的小可爱	毛茸茸的可愛生物	ふわふわのカワイコちゃん	푹신한 귀여움
card_kitten_name		Kitten	Kitten	Chaton	Gattino	Kätzchen	Gatito		Kotek	小猫	小貓咪	子ネコ	아기 고양이
card_merchant_description		Selling a Dragon Egg for 100 Coins!	Een drakenei te koop voor slechts 100 Munten!	Vend un Œuf de dragon pour 100 pièces !	Vende un Uovo di Drago per 100 Monete!	Du verkaufst ein Drachenei für 100 Münzen!	¡Vende un huevo de dragón por 100 monedas!		Sprzedaje Smocze Jajo za 100 Monet!	100枚硬币出售一个龙蛋！	他用100金幣的價格販賣一顆龍蛋！	ドラゴンのタマゴを100コインで販売中だよ！	용의 알을 100코인에 팝니다!
