"Term"	"Notes"	"Ukrainian"
"label_framerate_cap"	""	"Ліміт кадрів: [fps_cap]"
"label_framerate_unlimited"	""	"Немає"
"label_go_to_forest_prompt"	""	"Are you sure you want to travel through this Portal?"
"label_inventory"	""	"Інвентар"
"label_not_enough_food_before_portal"	""	"You need to have enough Food for your Villagers before you can enter the Portal"
"label_taking_portal_full"	""	"Teleporting through Portal"
"label_taking_portal_title"	""	"Take the Portal"
"label_toggle_inventory"	""	"Click to toggle the inventory"
"label_total_combatlevel"	""	"Total Combat Level [level]"
"quest_break_bottle_text"	""	"Break a Bottle"
"quest_build_smithy_text"	""	"Build a Smithy"
"quest_build_stable_portal_text"	""	"Build a Stable Portal"
"quest_craft_amulet_forest_text"	""	"Craft the Amulet of the Forest"
"quest_equip_archer_quiver_text"	""	"Equip an Archer with a Quiver"
"quest_fight_wave_six_text"	""	"Добратися до хвилі 6"
"quest_fight_wicked_witch_text"	""	"Fight the Wicked Witch"
"quest_find_dark_forest_text"	""	"Знайти темний ліс"
"quest_finish_first_wave_text"	""	"Complete the first wave"
"quest_plant_berry_bush_text"	""	"Grow a Berry Bush using Soil"
"quest_punch_rock_text"	""	"Mine a Rock using a Villager"
"quest_punch_tree_text"	""	"Harvest a Tree using a Villager"
"quest_train_archer_text"	""	"Train an Archer"
"quest_train_ninja_text"	""	"Train a Ninja"
"quest_train_wizard_text"	""	"Train a Wizard"
"quest_villager_combat_20_text"	""	"Have a Villager with Combat Level 20"
"quest_wear_bunny_hat_text"	""	"Make a Villager wear a Rabbit Hat"
"quest_wear_crab_scale_armor_text"	""	"Make a Villager wear Crab Scale Armor"
"questgroup_equipment"	""	"Strengthen Up"
"questgroup_forest_mainquest"	""	"Темний ліс"
"rumor_combat_description"	""	"Some attack types are stronger against others. For example, Melee beats Magic!"
"rumor_combat_name"	""	"Бій"
"specialhit_bleeding_long"	""	"[chance]% шанс викликати кровотечу у [target]"
"specialhit_crit_long"	""	"[chance]% шанс завдати критичного удару до [target]"
"specialhit_damage_long"	""	"[chance]% шанс завдати шкоди до [target]"
"specialhit_frenzy_long"	""	"[chance]% шанс на шаленство [target]"
"specialhit_heal_long"	""	"[chance]% шанс зцілити [target]"
"specialhit_heallowest_long"	""	"[chance]% шанс зцілити союзника з найнижчим рівнем здоров'я"
"specialhit_invulnerable_long"	""	"[chance]% шанс зробити [target] невразливим(ми)"
"specialhit_lifesteal_long"	""	"[chance]% шанс на вкрасти здоров'я у [target]"
"specialhit_poison_long"	""	"[chance]% шанс отруїти [target]"
"specialhit_stun_long"	""	"[chance]% шанс приголомшити [target]"
"statuseffect_bleeding_description"	""	"Завдає шкоди кожні 2 с протягом 10 с"
"statuseffect_bleeding_lore"	""	"Воно витікає"
"statuseffect_bleeding_name"	""	"Кровоточить"
"statuseffect_frenzy_description"	""	"Збільшує швидкість атаки на 10 с"
"statuseffect_frenzy_lore"	""	"Вони розлючені"
"statuseffect_frenzy_name"	""	"Шаленство"
"statuseffect_invulnerable_description"	""	"Не може бути ушкоджений протягом 10 с"
"statuseffect_invulnerable_lore"	""	"Шкіра зі сталі"
"statuseffect_invulnerable_name"	""	"Невразливий"
"target_allenemy"	""	"всіх ворогів"
"target_allfriendly"	""	"всіх союзників"
"target_randomenemy"	""	"випадкового ворога"
"target_randomfriendly"	""	"випадкового союзника"
"target_self"	""	"себе"
"target_target"	""	"ціль"
"cardtype_humans"	""	"Селяни"
"label_food_infobox"	""	"Every Moon you need [required_food_count] [foodicon] to feed your Villagers. You currently have [food_count] [foodicon]"
"label_food_infobox_warning"	""	"Get [foodicon] so you won't lose your Villagers!"
"label_starving_humans"	""	"<one>There is not enough Food.. 1 Villager will starve of Hunger<other>There is not enough Food.. [count] Villagers will starve of Hunger"
"card_tuna_description"	""	"Велика риба"
"card_cod_description"	""	"Мокра та слизька риба"
"card_mackerel_description"	""	"Маленька риба"
"label_health"	""	"Макс. здоров'я"
"label_wave"	""	"Хвиля [wave]"
"label_undiscovered_cards_tooltip"	""	"У цьому пакунку все ще є кілька невідкритих карт"
"label_undiscovered_cards_tooltip_title"	""	"Невідкриті карти"
"rumor_dark_forest_name"	""	"Темний ліс"
"rumor_dark_forest_description"	""	"За дивним порталом ховається прихований світ"
"pack_equipment_text"	"Name of a Card Pack related to Combat"	"Зброярня"
"label_ui_scale"	""	"Розмір інтерфейсу: [scale]"
"label_ui_scale_100"	""	"100%"
"label_ui_scale_80"	""	"80%"
"label_ui_scale_60"	""	"60%"
"pack_combat_intro_text"	""	"Нова зброя"
"label_strange_portal_appeared_strong"	""	"Він здається сильнішим, ніж зазвичай"
"label_itemlevel"	""	"Рівень предмету: [level]"
"label_health_info"	""	"Здоров'я: [health]/[maxhealth]"
"card_rare_portal_name"	""	"Рідкісний портал"
"card_rare_portal_description"	""	"Виглядає загрозливо. Цікаво, чи зможемо ми туди увійти?"
"label_forest_wave_endless_end2"	""	"You have finished the Dark Forest quest"
"label_max_villager_in_portal"	""	"You can only take 7 Villagers in the portal"
"card_stable_portal_description"	""	"A permanent portal to The Dark Forest. Can move 7 Cards. Time for revenge!"
"label_update_title_forest"	""	"The Dark Forest Update"
"label_update_text_forest"	"The # adds newlines to the text. Please keep them"	"The latest update is here! We've added a new area, made big changes to the combat in the game, and added several quality of life fixes!##This update brings a lot of changes to the base game. For the best experience you should start a new run!"
"card_militia_description"	""	"A villager that's ready to rumble."
"card_swordsman_description"	""	"A villager that's ready to fight!"
"quest_pause_game_text"	""	"Pause using the play icon in the top right corner"
"card_university_name"	""	"University"
"card_university_description_long"	""	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them. [count]/[max_count] Coins given."
"card_university_description_completed"	""	"A place of wisdom. You've discovered all their Ideas."
"idea_university_status_0"	""	"Building a University"
"label_invention_fullname"	""	"Invention: [name]"
"card_lighthouse_name"	""	"Lighthouse"
"card_lighthouse_description"	""	"Increases the board size past the Warehouse limit"
"idea_lighthouse_status_0"	""	"Building a Lighthouse"
"card_resource_chest_name_override"	"[resource] is replaced by the resource the chest is holding, e.g. Wood Chest"	"[resource] Chest"
"card_resource_chest_name"	""	"Resource Chest"
"card_resource_chest_description"	""	"A Chest for storing Resources"
"card_resource_chest_description_long"	""	"A Chest containing [amount] [resource] "
"idea_resourcechest_status_0"	""	"Building Resource Chest"
"card_resource_magnet_name"	""	"Resource Magnet"
"card_resource_magnet_name_override"	""	"[resource] Magnet"
"card_resource_magnet_description"	""	"This card magically pulls cards of the same kind towards it"
"card_resource_magnet_description_long"	"[resource] is replaced by the resource the magnet is pulling, e.g. Wood Magnet"	"Magnet is pulling [resource]"
"idea_resource_magnet_status_0"	""	"Building a Resource Magnet"
"card_heavy_foundation_name"	""	"Magic Glue"
"card_heavy_foundation_description"	""	"Sticks the stack on top of it to the board and prevents it from moving"
"idea_heavy_foundation_status_0"	""	"Crafting Magic Glue"
"card_conveyor_name"	""	"Crane"
"card_conveyor_description"	""	"Lifts cards from one place to another"
"card_conveyor_status"	""	"Lifting [resource]"
"idea_conveyor_status_0"	""	"Building a Crane"
"card_hotpot_name"	""	"Hotpot"
"card_hotpot_description"	""	"A replenishable source of Food that your Villagers can eat from. Add Food and they'll eat from it at the end of the Moon!"
"idea_hotpot_status_0"	""	"Building a Hotpot"
"card_trash_can_name"	""	"Dustbin"
"card_trash_can_description"	""	"Allows you to get rid of cards you don't want anymore"
"idea_trash_can_status_0"	""	"Building a Dustbin"
"card_trash_can_status_0"	""	"Getting rid of Card"
"label_update_text_chaos"	"The # adds newlines to the text. Please keep them"	"Here's a new minor update! We've added a bunch of cards that will make life in the mid-game and late-game a lot more manageable.##There are cards that will help you with food management, resource management and even some cards you can use to set up some simple automation!##We've also fixed some bugs, as well as added quality of life fixes. Enjoy!"
"label_update_title_chaos"	""	"Order & Structure"
"label_menu_sub_title"	""	"Order & Structure"
"card_breeding_pen_name"	""	"Breeding Pen"
"card_breeding_pen_description"	""	"A pen for breeding Animals"
"idea_breedingpen_status_0"	""	"Building a Breeding Pen"
"action_breeding_status"	""	"Breeding Animals"
"action_slaughtering_status"	""	"Butchering animal"
"card_slaughter_house_name"	""	"Butchery"
"card_slaughter_house_description"	""	"Sends animals on vacation"
"idea_slaughterhouse_status_0"	""	"Building a Butchery"
"card_wishing_well_name"	""	"Wishing Well"
"card_wishing_well_description_long"	""	"<one>It gives you a wish for every [count] coins. You currently have [amount] wish<other>It gives you a wish for every [count] coins. You currently have [amount] wishes"
"card_wishing_well_wish_1"	""	"Aah! My first wish"
"card_wishing_well_wish_2"	""	"I'm feeling lucky!"
"card_wishing_well_wish_5"	""	"Oh happy days!"
"card_wishing_well_wish_10"	""	"I really hope this Wishing Well does something?"
"card_wishing_well_wish_20"	""	"I sure am spending a lot of money on wishes"
"card_wishing_well_wish_50"	""	"This isn't going anywhere. I should stop buying wishes"
"idea_wishing_well_status_0"	""	"Building a Wishing Well"
"card_brickyard_status"	""	"Making a Brick"
"card_sawmill_status"	""	"Making a Plank"
"label_one_villager_needs_to_stay_island"	""	"At least one Villager needs to stay on the Island"
"card_university_status"	""	"Дослідження"
"card_altar_description"	""	"Used for summoning Spirits"
"card_altar_name"	""	"Altar"
"card_angry_royal_description"	""	"You have angered the most important man alive"
"card_angry_royal_name"	""	"Angry Royal"
"card_animal_cage_description"	""	"Can hold 1 Animal"
"card_animal_cage_name"	""	"Animal Cage"
"card_animal_cage_status_0"	""	"Building an Animal Cage"
"card_animal_eating_status"	""	"Eating Wheat"
"card_animal_old_name"	""	"Old [name]"
"card_animal_pen_status"	""	"[name] is producing [card]"
"card_baby_dragon_description"	""	"A magic dinosaur"
"card_baby_dragon_name"	""	"Baby Dragon"
"card_barrel_description"	""	"Turns wet mixtures into different wet mixtures"
"card_barrel_name"	""	"Barrel"
"card_barrel_status_0"	""	"Building a Barrel"
"card_beer_description"	""	"Water and wheat. Iconic duo."
"card_beer_name"	""	"Beer"
"card_beer_status_0"	""	"Brewing Beer"
"card_book_description"	""	"Videogames, but for nerds"
"card_book_name"	""	"Book"
"card_book_status_0"	""	"Making a Book"
"card_bread_description"	""	"Who doesn't love it"
"card_bread_name"	""	"Bread"
"card_bread_status_0"	""	"Baking Bread"
"card_cat_description"	""	"Cute and mean"
"card_cat_name"	""	"Cat"
"card_charity_description"	""	"Generates 1 Happiness for every [amount] Coins you give it"
"card_charity_name"	""	"Charity"
"card_charity_status_0"	""	"Building a Charity"
"card_charity_status_active"	""	"Giving to Charity"
"card_cheese_description"	""	"It tastes like Gouda"
"card_cheese_name"	""	"Cheese"
"card_cheese_status_0"	""	"Making Cheese"
"card_corpse_name_long"	""	"Corpse of [name]"
"card_corpse_remove"	""	"Burying Corpse"
"card_crown_description"	""	"Pretend to be a Royal"
"card_crown_name"	""	"Crown"
"card_crown_status_0"	""	"Making a Crown"
"card_curse_happiness_description"	""	"Your Villagers need Happiness every [month] moons."
"card_death_curse_description"	""	"Death, but no taxes. Villagers grow old and get sick."
"card_death_curse_name"	""	"Curse of Death"
"card_death_recipe_description"	""	"Offering Raw Meat at the Altar will summon a spirit"
"card_death_recipe_name"	""	"World of Death"
"card_death_spirit_description"	""	"From a far away world, where Villagers get old and sick"
"card_death_spirit_name"	""	"Spirit of Death"
"card_display_spirit_dlc_description"	""	"Buy the Cursed Worlds DLC to get access to these cards"
"card_display_spirit_dlc_name"	""	"Cursed Worlds"
"card_dough_description"	""	"It passes the windowpane test"
"card_dough_name"	""	"Dough"
"card_dough_status_0"	""	"Making Dough"
"card_dragon_egg_description"	""	"A big speckled chicken egg"
"card_dragon_egg_name"	""	"Dragon Egg"
"card_dragon_egg_name_cracked"	""	"Cracked Dragon Egg"
"card_dragon_scale_armor_description"	""	"A nice piece of armor, but at what cost..."
"card_dragon_scale_armor_name"	""	"Dragonscale Armor"
"card_euphoria_description"	""	"A feeling or state of intense excitement and happiness"
"card_euphoria_name"	""	"Euphoria"
"card_euphoria_status_0"	""	"Creating Euphoria"
"card_fiend_description"	""	"A large, demon-like creature"
"card_fiend_name"	""	"Fiend"
"card_fish_chips_description"	""	"Not to be confused with Fish and Crisps"
"card_fish_chips_name"	""	"Fish and Chips"
"card_fish_chips_status_0"	""	"Making Fish and Chips"
"card_flour_description"	""	"Sandy. The main ingredient for Dough"
"card_flour_mill_description"	""	"Turns Wheat into Flour"
"card_flour_mill_name"	""	"Flour Mill"
"card_flour_name"	""	"Flour"
"card_fountain_of_youth_description"	""	"Lifts the Curse of Death"
"card_fountain_of_youth_name"	""	"Fountain of Youth"
"card_fountain_of_youth_status_0"	""	"Creating The Fountain of Youth"
"card_french_fries_description"	""	"Crispy Potato"
"card_french_fries_name"	""	"French Fries"
"card_french_fries_status_0"	""	"Frying French Fries"
"card_ghoul_description"	""	"A haunted spirit"
"card_ghoul_name"	""	"Ghoul"
"card_grape_description"	""	"It's just a fancy berry"
"card_grape_name"	""	"Grape"
"card_grape_pulp_description"	""	"A slurry of Grapes"
"card_grape_pulp_name"	""	"Grape Pulp"
"card_grape_pulp_status_0"	""	"Stomping Grapes"
"card_grape_vine_description"	""	"Stringy berry bush"
"card_grape_vine_name"	""	"Grape Vine"
"card_grape_vine_status"	""	"Harvesting Grapes"
"card_greed_curse_description"	""	"A Greedy Royal rules the land. Fulfill his demands."
"card_greed_curse_name"	""	"Curse of Greed"
"card_greed_recipe_description"	""	"Offering the Altar a Coin will summon a spirit"
"card_greed_recipe_name"	""	"World of Greed"
"card_greed_spirit_description"	""	"From a far away world, where a Royal rules the land"
"card_greed_spirit_name"	""	"Spirit of Greed"
"card_happiness_curse_description"	""	"Everyone needs Happiness."
"card_happiness_curse_name"	""	"Curse of Sadness"
"card_happiness_description"	""	"A single unit of Happiness. It keeps Villagers happy"
"card_happiness_name"	""	"Happiness"
"card_happiness_recipe_description"	""	"Offering Charcoal at the Altar will summon a spirit"
"card_happiness_recipe_name"	""	"World of Sadness"
"card_happiness_spirit_description"	""	"From a far away world where Villagers get sad"
"card_happiness_spirit_name"	""	"Spirit of Sadness"
"card_herbal_tea_description"	""	"Makes you feel better"
"card_herbal_tea_name"	""	"Herbal Tea"
"card_herbal_tea_status_0"	""	"Making Herbal Tea"
"card_herbal_tea_status_1"	""	"Curing Villager"
"card_herbs_description"	""	"Leaves with flavor"
"card_herbs_name"	""	"Herbs"
"card_hop_plant_status_0"	""	"Gathering Hop"
"card_horse_description"	""	"Weird looking cow"
"card_horse_name"	""	"Horse"
"card_human_poop_description"	""	"It's extra smelly"
"card_human_poop_name"	""	"Villager Poop"
"card_imp_description"	""	"A nasty lil creature"
"card_imp_name"	""	"Imp"
"card_jester_description"	""	"Fun at parties"
"card_jester_hat_description"	""	"Makes you look like a clown"
"card_jester_hat_name"	""	"Jester's Hat"
"card_jester_hat_status_0"	""	"Creating a Jester's Hat"
"card_jester_name"	""	"Jester"
"card_kitten_description"	""	"Fluffy cuteness"
"card_kitten_name"	""	"Kitten"
"card_merchant_description"	""	"Selling a Dragon Egg for 100 Coins!"
"card_merchant_description_2"	""	"Selling a Dragon Egg for 100 Coins! Still needs [coinsNeeded] Coins."
"card_merchant_name"	""	"Merchant"
"card_museum_description"	""	"Turns Resources into Happiness, for each new Resource it's given"
"card_museum_name"	""	"Museum"
"card_museum_status_0"	""	"Building a Museum"
"card_naming_stone_description"	""	"No more forgetting who's who!"
"card_naming_stone_name"	""	"Naming Stone"
"card_naming_stone_status_0"	""	"Building a Naming Stone"
"card_old_cat_description"	""	"Grumpy sometimes"
"card_old_cat_name"	""	"Old Cat"
"card_old_dog_description"	""	"Still adorable"
"card_old_dog_name"	""	"Old Dog"
"card_old_villager_description"	""	"Life's flashing before their eyes"
"card_old_villager_name"	""	"Old Villager"
"card_olive_description"	""	"Mediterranean classic"
"card_olive_name"	""	"Olive"
"card_olive_oil_description"	""	"Tasty olive juice"
"card_olive_oil_name"	""	"Olive Oil"
"card_olive_oil_status_0"	""	"Making Olive Oil"
"card_olive_pulp_description"	""	"A slurry of olives"
"card_olive_pulp_name"	""	"Olive Pulp"
"card_olive_pulp_status_0"	""	"Stomping Olives"
"card_olive_tree_description"	""	"Can grow as old as 3,500 years"
"card_olive_tree_name"	""	"Olive Tree"
"card_olive_tree_status"	""	"Harvesting Olives"
"card_outhouse_description"	""	"Use it to get rid of Poop"
"card_outhouse_name"	""	"Outhouse"
"card_outhouse_remove_poop"	""	"Getting rid of Poop"
"card_outhouse_status_0"	""	"Building an Outhouse"
"card_oven_description"	""	"Used to bake all sorts of things"
"card_oven_name"	""	"Oven"
"card_painting_description"	""	"A drawing of a French Villager"
"card_painting_name"	""	"Painting"
"card_painting_status_0"	""	"Creating a Painting"
"card_pancakes_description"	""	"A big stack!"
"card_pancakes_name"	""	"Pancakes"
"card_pancakes_status_0"	""	"Making Pancakes"
"card_paper_description"	""	"Wet wood, thinly-sliced"
"card_paper_name"	""	"Paper"
"card_paper_status_0"	""	"Making Paper"
"card_petting_zoo_description"	""	"Generates Happiness for every Animal on top of it"
"card_petting_zoo_name"	""	"Petting Zoo"
"card_petting_zoo_status_0"	""	"Building a Petting Zoo"
"card_petting_zoo_status_active"	""	"Petting Animals"
"card_pizza_description"	""	"Hell yeah"
"card_pizza_name"	""	"Pizza"
"card_pizza_status_0"	""	"Making Pizza"
"card_plague_mask_description"	""	"You can't get Sick"
"card_plague_mask_name"	""	"Plague Mask"
"card_plague_mask_status_0"	""	"Making a Plague Mask"
"card_poop_cant_sell"	""	"You can't sell Poop when the Curse of Death is active"
"card_poop_slime_description"	""	"Slime made of Poop"
"card_poop_slime_name"	""	"Poop Slime"
"card_possessed_blade_description"	""	"Makes its wielder feel uneasy"
"card_possessed_blade_name"	""	"Possessed Blade"
"card_puppy_description"	""	"It's adorable"
"card_puppy_name"	""	"Puppy"
"card_rag_description"	""	"Ill-fitted piece of cotton"
"card_rag_name"	""	"Rag"
"card_roasted_fish_description"	""	"Browned nicely"
"card_roasted_fish_name"	""	"Fried Fish"
"card_roasted_fish_status_0"	""	"Frying Fish"
"card_roasted_meat_description"	""	"Crunchy on the outside"
"card_roasted_meat_name"	""	"Fried Meat"
"card_roasted_meat_status_0"	""	"Frying Meat"
"card_royal_archer_description"	""	"Trained on the castle grounds"
"card_royal_archer_name"	""	"Royal Archer"
"card_royal_banquet_description"	""	"Some very tasty foods combined"
"card_royal_banquet_name"	""	"Royal Banquet"
"card_royal_banquet_status_0"	""	"Preparing a Royal Banquet"
"card_royal_crown_description"	""	"Gives you strength and makes you greedy"
"card_royal_crown_name"	""	"Royal Crown"
"card_royal_description"	"nog even over nadenken"	"A spoiled brat"
"card_royal_description_demand_2"	""	"He demands that you bring him a Dragon Egg. Come back to him when you have it. "
"card_royal_guard_description"	""	"Will give their life for the Royal"
"card_royal_guard_name"	""	"Royal Guard"
"card_royal_mage_description"	""	"A noble wizard"
"card_royal_mage_name"	""	"Royal Mage"
"card_royal_name"	""	"Royal"
"card_royal_tunic_description"	""	"Looking fancy on the battlefield"
"card_royal_tunic_name"	""	"Guard's Tunic"
"card_ruins_description"	""	"An ancient place. Requires [required_count] Villagers to explore."
"card_ruins_name"	""	"Ruins"
"card_ruins_status"	""	"Exploring Ruins"
"card_sadness_demon_description"	""	"It was created by your Villagers' sadness"
"card_sadness_demon_name"	""	"Demon of Sadness"
"card_scythe_description"	""	"Useful for farming and chopping down monsters"
"card_scythe_name"	""	"Scythe"
"card_scythe_status_0"	""	"Making a Scythe"
"card_sewer_description"	""	"Automatically attracts Poop"
"card_sewer_name"	""	"Sewer"
"card_sewer_status_0"	""	"Building a Sewer"
"card_shaman_description"	""	"Talks to spirits"
"card_shaman_name"	""	"Shaman"
"card_shaman_status"	""	"Chanting"
"card_spirit_status_1"	""	"Leaving Spirit World"
"card_spring_description"	""	"A water source. Can also be used to fill Empty Bottles"
"card_spring_name"	""	"Spring"
"card_squire_description"	""	"He carries your shield"
"card_squire_name"	""	"Squire"
"card_squire_tunic_description"	""	"For wannabe knights"
"card_squire_tunic_name"	""	"Squire Tunic"
"card_squire_tunic_status_0"	""	"Creating a Squire Tunic"
"card_stomping_vat_description"	""	"Wash your feet first"
"card_stomping_vat_name"	""	"Stomping Vat"
"card_stomping_vat_status_0"	""	"Building a Stomping Vat"
"card_tavern_description"	""	"Turns Food into Happiness"
"card_tavern_name"	""	"Tavern"
"card_tavern_status_0"	""	"Serving Food"
"card_teenage_villager_description"	""	"The world right at your feet"
"card_teenage_villager_name"	""	"Young Villager"
"card_throwing_tomatos_description"	""	"The crowd did not like it"
"card_throwing_tomatos_name"	""	"Tomatoes"
"card_throwing_tomatos_status_0"	""	"Making Tomatoes"
"card_tomato_description"	""	"Red, round and fun to throw"
"card_tomato_name"	""	"Tomato"
"card_tomato_plant_description"	""	"Only eat the red parts"
"card_tomato_plant_name"	""	"Tomato Plant"
"card_tomato_plant_status"	""	"Picking Tomatoes"
"card_unhappiness_description"	""	"Makes Villagers sad##You need 1 extra Happiness for every Sadness card you have"
"card_unhappiness_name"	""	"Sadness"
"card_university_description"	""	"A place of wisdom. Gives you a new Idea for every [max_count] Coins you gift them."
"card_water_description"	""	"Wet liquid"
"card_water_name"	""	"Water"
"card_water_status_0"	""	"Getting Water"
"card_wheat_description"	""	"It's grass for humans, but heaven for animals"
"card_wheat_name"	""	"Wheat"
"card_whip_description"	""	"Melee or ranged? Who knows"
"card_whip_name"	""	"Whip"
"card_wine_description"	""	"This grape juice is making me feel funny"
"card_wine_name"	""	"Wine"
"card_wine_status_0"	""	"Making Wine"
"card_winter_coat_description"	""	"Wonderful in winter"
"card_winter_coat_name"	""	"Winter Coat"
"card_winter_coat_status_0"	""	"Making Winter Coat"
"card_wishing_well_description"	""	"It grants you a wish for every [count] coins."
"card_wool_dress_description"	""	"A dress to impress"
"card_wool_dress_name"	""	"Fancy Dress"
"card_wool_dress_status_0"	""	"Making a Fancy Dress"
"card_wool_socks_description"	""	"They have small cat paws on!"
"card_wool_socks_name"	""	"Purple Socks"
"card_wool_socks_status_0"	""	"Making Purple Socks"
"cardtype_happiness"	""	"Happiness"
"cardtype_spirits"	""	"Spirits & Curses"
"credits_cyber"	""	"Modding support"
"cursetype_death"	""	"Death"
"cursetype_greed"	""	"Greed"
"cursetype_happiness"	""	"Happiness"
"cutscene_death_end_text_0"	""	"I see you unlocked a new pack!"
"cutscene_death_end_text_1"	""	"I heard that this pack contains the fix for my curse"
"cutscene_death_middle_text_0"	""	"Looks like a Villager died of old age"
"cutscene_death_middle_text_1"	""	"It's always sad to see it happen. He is safe with me."
"cutscene_death_middle_text_2"	""	"Be sure to get some new Villagers before they all die"
"cutscene_greed_end_text_0"	""	"A Dragon Egg? I hope he's ready for what's about to come"
"cutscene_greed_middle_text_0"	""	"This Greedy Royal thinks he can demand everything..."
"cutscene_greed_middle_text_1"	""	"I'm sure his demands will soon be his downfall"
"cutscene_happiness_end_text_0"	""	"I found a way to get rid of the curse"
"cutscene_happiness_end_text_1"	""	"Combine 3 Euphoria with the Curse of Sadness"
"cutscene_happiness_end_text_2"	""	"Here is the Idea for it"
"cutscene_happiness_middle_text_1"	""	"If we get more Happiness, we might be able to lift the Curse of Sadness"
"demand_fancy_dress_start_text"	""	"I am going to give this dress to a very pretty person!"
"demand_fancy_dress_success_text"	""	"The dress was a perfect gift, she loved it! I always have the greatest ideas!"
"greed_quest_demand_description_not_found"	""	"My Royal Advisor will instruct you on how to get what I need"
"greed_quest_demand_failed"	""	"You have not fulfilled my demands!"
"greed_quest_demand_failed_2"	""	"What is this? You have not provided me with what I requested"
"greed_quest_demand_failed_3"	""	"My request was very specific, but I do not see the goods"
"greed_quest_demand_success"	""	"Thanks. I didn't know you had it in you"
"greed_quest_demand_success_2"	""	"Ah, exactly what I needed..."
"greed_quest_demand_success_3"	""	"Delightful! Just what I ordered"
"greed_quest_demand_title"	""	"The Royal Demands!"
"idea_altar_status_0"	""	"Building an Altar"
"idea_death_curse_fix_description"	""	"Lifts the Curse of Death"
"idea_death_curse_fix_name"	""	"Lift the Curse of Death"
"idea_death_curse_fix_status_0"	""	"Lifting Curse of Death"
"idea_flour_mill_status_0"	""	"Building a Flour Mill"
"idea_flour_status_0"	""	"Grinding Wheat"
"idea_greed_curse_fix_description"	""	"Lifts the Curse of Greed"
"idea_greed_curse_fix_name"	""	"Lift the Curse of Greed"
"idea_greed_curse_fix_status_0"	""	"Lifting Curse of Greed"
"idea_growth_status_13"	""	"Growing Wheat"
"idea_growth_status_14"	""	"Growing Grape Vine"
"idea_growth_status_15"	""	"Growing Olive Tree"
"idea_growth_status_16"	""	"Growing Tomato Plant"
"idea_growth_status_17"	""	"Growing Tree"
"idea_growth_status_18"	""	"Growing Herbs"
"idea_happiness_curse_fix_description"	""	"Lifts the Curse of Sadness"
"idea_happiness_curse_fix_name"	""	"Lift Curse"
"idea_happiness_curse_fix_status_0"	""	"Lifting Curse of Sadness"
"idea_happiness_description"	""	"A quick and dirty way of getting Happiness"
"idea_happiness_name"	""	"Happiness"
"idea_happiness_result"	""	"A quick and dirty way of getting Happiness"
"idea_happiness_status_0"	""	"Admiring Coins"
"idea_happiness_status_1"	""	"Reading Book"
"idea_offspring_status_2"	""	"Creating a Kitten"
"idea_oven_status_0"	""	"Building an Oven"
"idea_remove_happiness"	""	""
"idea_tavern_status_0"	""	"Building a Tavern"
"idea_unhappiness_status_0"	""	"Making Villager sad"
"ideagroup_death"	""	"Death"
"ideagroup_greed"	""	"Greed"
"ideagroup_happiness"	""	"Happiness"
"label_advanced_combat"	""	"In Game Combat Stats: [on_off]"
"label_advanced_settings"	""	"Advanced Options"
"label_age_villagers"	""	"Happy birthday!"
"label_altar_cutscene_help_false"	""	"Ignore them"
"label_altar_cutscene_help_spirit_false"	""	"Please summon me again when you can help me"
"label_altar_cutscene_help_spirit_true"	""	"Thank you! Follow me to my world"
"label_altar_cutscene_help_true"	""	"Help them out"
"label_altar_cutscene_text"	""	"I'm the [spirit]. Can you help me in my world?"
"label_altar_cutscene_title"	""	"The Altar starts to rumble.."
"label_angry_villager"	""	"One of your Villagers became angry!"
"label_beat_curse_to_unlock"	""	"Lift this curse to start a new run with it enabled"
"label_buy_dlc_steam"	""	"Buy on Steam"
"label_cardopedia_all"	""	"All Cards"
"label_cardopedia_forest"	""	"Dark Forest"
"label_cardopedia_island"	""	"The Island"
"label_cardopedia_main"	""	"Original"
"label_cardopedia_modded"	""	"Модифікації"
"label_cardopedia_order"	""	"Order & Structure"
"label_cardopedia_spirit"	""	"Cursed Worlds"
"label_change_board_disabled_text"	""	"You can't change worlds in the Spirit World"
"label_change_board_disabled_title"	""	"Travel disabled"
"label_clicktodrag_enabled"	""	"Easy dragging"
"label_clicktodrag_tooltip"	""	"Allows you to drag cards with a right click.#Right click once to start dragging and right click again to stop dragging."
"label_death_intro_1"	""	"Welcome to the World of Death"
"label_death_intro_2"	""	"Every few moons, our Villagers grow up"
"label_death_intro_3"	""	"After turning old, we pass away.."
"label_death_intro_4"	""	"We can also get sick, if there's too much poop around"
"label_death_intro_5"	""	"Can you lift our curse?"
"label_death_intro_title"	""	"Cursed by Death?"
"label_demand_collected"	""	"Off you go"
"label_demand_collected_2"	""	"I see! Off you go"
"label_demand_complete_start"	""	"Time to collect! I hope you have everything!"
"label_enable_curse_unknown"	""	"Curse of ???: Off"
"label_enable_death_curse"	""	"Curse of Death: [on_off]"
"label_enable_greed_curse"	""	"Curse of Greed: [on_off]"
"label_enable_happiness_curse"	""	"Curse of Sadness: [on_off]"
"label_enabled_curses"	""	"Enabled Curses"
"label_everyone_angry"	""	"Your whole village became angry!"
"label_everyone_spirit_world_dead"	""	"Everyone in the Spirit World died"
"label_everyone_spirit_world_dead_text"	""	"Returning to the Altar"
"label_everyone_spirit_world_dead_text_retry"	""	"You can revisit this Spirit World by using the Altar"
