"Term"	"Notes"	"English"	"Ukrainian"
"control_time_1"	""	"1x Speed"	"Швидкість 1x"
"control_time_2"	""	"5x Speed"	"Швидкість 5x"
"control_time_3"	""	"0x Speed"	"Швидкість 0x"
"control_time_pause"	""	"Pause Time"	"Призупинити"
"control_panel_collapse"	""	"Toggle Sidebar"	"Вмикнути бокову панель"
"control_zoom"	""	"Zoom"	"Наближення"
"control_sell"	""	"Sell Card"	"Продати картку"
"control_time_toggle"	""	"Toggle Time"	"Вмикнути час"
"control_pause"	""	"Pause Game"	"Призупинити гру"
"control_grab"	""	"Grab"	"Схопити"
"control_activate_UI"	""	"Activate UI"	"Активувати інтерфейс"
"control_move"	""	"Move"	"Move"
"control_snap_move"	""	"Snap Move"	"Snap Move"
"control_snap_cards"	""	"Snap Cards To Grid"	"Snap Cards To Grid"
"label_keyboard_mouse"	""	"Keyboard & Mouse"	"Keyboard & Mouse"
"label_controller"	""	"Controller"	"Контролер"
"label_waiting_for_input"	""	"Waiting for input"	"Waiting for input"
"label_sellbox_description"	""	"Drag Cards here to sell them. You can also use [action_sell] to sell cards."	"Drag Cards here to sell them. You can also use [action_sell] to sell cards."
"label_time_infobox"	"Controls can now be rebound, so that the parameters will be replaced with the appropriate key"	"The current Time. Use [action_time_pause] to pause or use [action_time_toggle] to toggle between Game Speeds"	"The current Time. Use [action_time_pause] to pause or use [action_time_toggle] to toggle between Game Speeds"
"label_toggle_panel_text"	"Controls can now be rebound, so that the parameters will be replaced with the appropriate key"	"Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab"	"Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab"
"label_auto_pause_controller"	""	"Automatically pause time when dragging cards (controller):"	"Automatically pause time when dragging cards (controller):"
"label_auto_pause_keyboardmouse"	""	"Automatically pause time when dragging cards (keyboard):"	"Automatically pause time when dragging cards (keyboard):"
"label_binding"	"Used when rebinding a control to a key"	"Assigning [control]"	"Assigning [control]"
"label_accessibility"	""	"Accessibility"	"Доступність"
"language_portuguese"	""	"Brazilian Portuguese"	"Brazilian Portuguese"
"language_chinese"	""	"Chinese"	"Chinese"
"language_japanese"	""	"Japanese"	"Japanese"
"language_korean"	""	"Korean"	"Korean"
"label_progress_stored"	""	"Progress will be saved"	"Progress will be saved"
"label_go_to_island_prompt"	""	"Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers"	"Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers"
"label_return_to_mainland_prompt"	""	"Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers"	"Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers"
"label_not_enough_food_before_sailing"	""	"You need to have enough Food for your Villagers before you can sail off"	"You need to have enough Food for your Villagers before you can sail off"
"idea_growth_status_11"	""	"Growing Seaweed"	"Growing Seaweed"
"card_market_description"	""	"Can be used to sell Cards for more than usual"	"Can be used to sell Cards for more than usual"
"attackdamage_veryweak"	""	"Very Weak"	"Very Weak"
"attackdamage_weak"	""	"Weak"	"Weak"
"attackdamage_normal"	""	"Normal"	"Normal"
"attackdamage_strong"	""	"Strong"	"Strong"
"attackdamage_verystrong"	""	"Very Strong"	"Very Strong"
"attackdamage_extremelystrong"	""	"Extremely Strong"	"Extremely Strong"
"attackspeed_veryslow"	""	"Very Slow"	"Very Slow"
"attackspeed_slow"	""	"Slow"	"Slow"
"attackspeed_normal"	""	"Normal"	"Normal"
"attackspeed_fast"	""	"Fast"	"Fast"
"attackspeed_veryfast"	""	"Very Fast"	"Very Fast"
"attackspeed_extremelyfast"	""	"Extremely Fast"	"Extremely Fast"
"card_amulet_of_forest_description"	""	"You feel the healing power of nature running through you"	"You feel the healing power of nature running through you"
"card_amulet_of_forest_name"	""	"Forest Amulet"	"Forest Amulet"
"card_amulet_of_mountain_description"	""	"It grounds you"	"It grounds you"
"card_amulet_of_mountain_name"	""	"Mountain Amulet"	"Mountain Amulet"
"card_archer_description"	""	"Afraid to get too close"	"Afraid to get too close"
"card_archer_name"	""	"Archer"	"Archer"
"card_axe_description"	""	"For chopping wood and monsters"	"For chopping wood and monsters"
"card_axe_name"	""	"Axe"	"Axe"
"card_bear_claw_description"	""	"Cheap Wolverine knockoff"	"Cheap Wolverine knockoff"
"card_bear_claw_name"	""	"Bear Claw"	"Bear Claw"
"card_blowpipe_description"	""	"Blow as hard as you can"	"Blow as hard as you can"
"card_blowpipe_name"	""	"Blowpipe"	"Blowpipe"
"card_blunderbuss_description"	""	"Watch out! Could blow up in your own face"	"Watch out! Could blow up in your own face"
"card_blunderbuss_name"	""	"Blunderbuss"	"Blunderbuss"
"card_bone_spear_description"	""	"Intimidating version of a regular Spear"	"Intimidating version of a regular Spear"
"card_bone_spear_name"	""	"Bone Spear"	"Bone Spear"
"card_bone_staff_description"	""	"A bone with special abilities"	"A bone with special abilities"
"card_bone_staff_name"	""	"Bone Staff"	"Bone Staff"
"card_boomerang_description"	""	"Always comes back to you"	"Always comes back to you"
"card_boomerang_name"	""	"Boomerang"	"Boomerang"
"card_bow_description"	""	"Makes you feel like Robin Hood"	"Makes you feel like Robin Hood"
"card_bow_name"	""	"Bow"	"Bow"
"card_broken_bottle_description"	""	"Cut out for the job"	"Cut out for the job"
"card_broken_bottle_name"	""	"Broken Bottle"	"Broken Bottle"
"card_builder_description"	""	"Way faster at Building"	"Way faster at Building"
"card_builder_name"	""	"Builder"	"Builder"
"card_bunny_hat_description"	""	"It's adorable!"	"It's adorable!"
"card_bunny_hat_name"	""	"Rabbit Hat"	"Rabbit Hat"
"card_chainmail_armor_description"	""	"A medieval era classic"	"A medieval era classic"
"card_chainmail_armor_name"	""	"Chainmail Armor"	"Chainmail Armor"
"card_club_description"	""	"Not used for playing baseball"	"Not used for playing baseball"
"card_club_name"	""	"Club"	"Club"
"card_crab_scale_armor_description"	""	"The scales are impenetrable"	"The scales are impenetrable"
"card_crab_scale_armor_name"	""	"Crab Scale Armor"	"Crab Scale Armor"
"card_crossbow_description"	""	"A gun for arrows"	"A gun for arrows"
"card_crossbow_name"	""	"Crossbow"	"Crossbow"
"card_dark_amulet_description"	""	"Its dark force makes you stronger"	"Its dark force makes you stronger"
"card_dark_amulet_name"	""	"Dark Amulet"	"Dark Amulet"
"card_dark_elf_description"	""	"Emo version of a regular Elf"	"Emo version of a regular Elf"
"card_dark_elf_name"	""	"Dark Elf"	"Dark Elf"
"card_demon_sword_description"	""	"An excellent blade used by the Demon himself"	"An excellent blade used by the Demon himself"
"card_demon_sword_name"	""	"Demon Sword"	"Demon Sword"
"card_elf_archer_description"	""	"Elves are the best archers"	"Elves are the best archers"
"card_elf_archer_name"	""	"Elf Archer"	"Elf Archer"
"card_elf_description"	""	"Does not work for Santa Claus anymore"	"Does not work for Santa Claus anymore"
"card_elf_name"	""	"Elf"	"Elf"
"card_enchanted_shroom_description"	""	"It's a magic shroom"	"It's a magic shroom"
"card_enchanted_shroom_name"	""	"Enchanted Shroom"	"Enchanted Shroom"
"card_ent_description"	""	"A talking and walking tree"	"A talking and walking tree"
"card_ent_name"	""	"Ent"	"Ent"
"card_feral_cat_description"	""	"Does it have rabies? Probably!"	"Does it have rabies? Probably!"
"card_feral_cat_name"	""	"Feral Cat"	"Feral Cat"
"card_fire_cloak_description"	""	"It's lit"	"It's lit"
"card_fire_cloak_name"	""	"Fire Cloak"	"Fire Cloak"
"card_frog_helmet_description"	""	"Grants you frog powers"	"Grants you frog powers"
"card_frog_helmet_name"	""	"Frog Helmet"	"Frog Helmet"
"card_frog_man_description"	""	"A man made of frogs"	"A man made of frogs"
"card_frog_man_name"	""	"Frog Man"	"Frog Man"
"card_ghost_description"	""	"Only shows up on low quality photos"	"Only shows up on low quality photos"
"card_ghost_name"	""	"Ghost"	"Ghost"
"card_giant_snail_description"	""	"The French would go crazy for this one"	"The French would go crazy for this one"
"card_giant_snail_name"	""	"Giant Snail"	"Giant Snail"
"card_goblin_archer_description"	""	"A more talented regular Goblin"	"A more talented regular Goblin"
"card_goblin_archer_name"	""	"Goblin Archer"	"Goblin Archer"
"card_goblin_hat_description"	""	"Goblin fashion is outdated"	"Goblin fashion is outdated"
"card_goblin_hat_name"	""	"Goblin Hat"	"Goblin Hat"
"card_goblin_shaman_description"	""	"Keeps the other Goblins happy"	"Keeps the other Goblins happy"
"card_goblin_shaman_name"	""	"Goblin Shaman"	"Goblin Shaman"
"card_gold_chestplate_description"	""	"Slightly overdressed for the event"	"Slightly overdressed for the event"
"card_gold_chestplate_name"	""	"Golden Chestplate"	"Golden Chestplate"
"card_hammer_description"	""	"Slow and blunt but packs a punch"	"Slow and blunt but packs a punch"
"card_hammer_name"	""	"Hammer"	"Hammer"
"card_helmet_description"	""	"It goes on top of your head. Great for cycling"	"It goes on top of your head. Great for cycling"
"card_helmet_name"	""	"Helmet"	"Helmet"
"card_horned_helmet_description"	""	"Useful for strong headbuts"	"Useful for strong headbuts"
"card_horned_helmet_name"	""	"Horned Helmet"	"Horned Helmet"
"card_iron_shield_description"	""	"A strong defense against hard blows"	"A strong defense against hard blows"
"card_iron_shield_name"	""	"Iron Shield"	"Iron Shield"
"card_kraken_tooth_axe_description"	""	"Left for the tooth fairy, you took it instead"	"Left for the tooth fairy, you took it instead"
"card_kraken_tooth_axe_name"	""	"Kraken Tooth Axe"	"Kraken Tooth Axe"
"card_leather_tunic_description"	""	"Armor made from the finest leather"	"Armor made from the finest leather"
"card_leather_tunic_name"	""	"Leather Tunic"	"Leather Tunic"
"card_lumberjack_description"	""	"Way faster at harvesting Wood"	"Way faster at harvesting Wood"
"card_lumberjack_name"	""	"Lumberjack"	"Lumberjack"
"card_mage_description"	""	"A post-grad Wizard"	"A post-grad Wizard"
"card_mage_name"	""	"Mage"	"Mage"
"card_magic_blade_description"	""	"An ordinary sword that glitters"	"An ordinary sword that glitters"
"card_magic_blade_name"	""	"Magic Blade"	"Magic Blade"
"card_magic_broom_description"	""	"You took it from some Old Lady"	"You took it from some Old Lady"
"card_magic_broom_name"	""	"Magic Broom"	"Magic Broom"
"card_magic_dust_description"	""	"It looks like glitter"	"It looks like glitter"
"card_magic_dust_name"	""	"Magic Dust"	"Magic Dust"
"card_magic_ring_description"	""	"Once it slides on your finger it grants you magic powers"	"Once it slides on your finger it grants you magic powers"
"card_magic_ring_name"	""	"Magic Ring"	"Magic Ring"
"card_magic_staff_description"	""	"A long, enchanted rod"	"A long, enchanted rod"
"card_magic_staff_name"	""	"Magic Staff"	"Magic Staff"
"card_magic_tome_description"	""	"An old book with spells in it"	"An old book with spells in it"
"card_magic_tome_name"	""	"Magic Tome"	"Magic Tome"
"card_magic_wand_description"	""	"A simple magic weapon"	"A simple magic weapon"
"card_magic_wand_name"	""	"Magic Wand"	"Magic Wand"
"card_merman_description"	""	"Half man, half mer"	"Half man, half mer"
"card_merman_name"	"It's the male version of a Mermaid"	"Merman"	"Merman"
"card_mimic_description"	""	"It almost got me"	"It almost got me"
"card_mimic_name"	""	"Mimic"	"Mimic"
"card_miner_description"	""	"Way faster at harvesting Rock, Gold & Iron"	"Way faster at harvesting Rock, Gold & Iron"
"card_miner_name"	""	"Miner"	"Miner"
"card_morning_star_description"	""	"Spikes on a stick"	"Spikes on a stick"
"card_morning_star_name"	""	"Morning Star"	"Morning Star"
"card_mosquito_description"	""	"He even hates himself"	"He even hates himself"
"card_mosquito_name"	""	"Mosquito"	"Mosquito"
"card_ninja_description"	""	"Silent and deadly"	"Silent and deadly"
"card_ninja_name"	""	"Ninja"	"Ninja"
"card_ogre_description"	""	"Big and chunky"	"Big and chunky"
"card_ogre_name"	""	"Ogre"	"Ogre"
"card_orc_wizard_description"	""	"Mean and green"	"Mean and green"
"card_orc_wizard_name"	""	"Orc Wizard"	"Orc Wizard"
"card_pickaxe_description"	""	"A stick with two pointy ends"	"A stick with two pointy ends"
"card_pickaxe_name"	""	"Pickaxe"	"Pickaxe"
"card_pirate_hat_description"	""	"Useful for dress up parties"	"Useful for dress up parties"
"card_pirate_hat_name"	""	"Pirate Hat"	"Pirate Hat"
"card_pirate_sword_description"	""	"Designed for swashbucklers"	"Designed for swashbucklers"
"card_pirate_sword_name"	""	"Pirate Sabre"	"Pirate Sabre"
"card_quiver_description"	""	"Makes you more efficient"	"Makes you more efficient"
"card_quiver_name"	""	"Quiver"	"Quiver"
"card_rat_crown_description"	""	"Turn into the King of the Rats"	"Turn into the King of the Rats"
"card_rat_crown_name"	""	"Rat Crown"	"Rat Crown"
"card_skull_helmet_description"	""	"Kinda messed up"	"Kinda messed up"
"card_skull_helmet_name"	""	"Skull Helmet"	"Skull Helmet"
"card_slingshot_description"	""	"Very inaccurately hurl rocks at enemies"	"Very inaccurately hurl rocks at enemies"
"card_slingshot_name"	""	"Slingshot"	"Slingshot"
"card_smithy_description"	""	"A building used for creating better weapons"	"A building used for creating better weapons"
"card_smithy_name"	""	"Smithy"	"Smithy"
"card_spiked_plank_description"	""	"For tough construction workers"	"For tough construction workers"
"card_spiked_plank_name"	""	"Spiked Plank"	"Spiked Plank"
"card_stable_portal_name"	""	"Stable Portal"	"Stable Portal"
"card_stable_portal_status"	""	"Entering the Portal"	"Entering the Portal"
"card_staff_of_fear_description"	""	"Very scary!!"	"Very scary!!"
"card_staff_of_fear_name"	""	"Staff of Fear"	"Staff of Fear"
"card_strange_portal_description"	""	"It looks threatening. I wonder if we can enter it?"	"It looks threatening. I wonder if we can enter it?"
"card_strange_portal_name"	""	"Strange Portal"	"Strange Portal"
"card_throwing_star_description"	""	"Fast and accurate, ninjas love them"	"Fast and accurate, ninjas love them"
"card_throwing_star_name"	""	"Throwing Stars"	"Throwing Stars"
"card_tiger_fur_coat_description"	""	"Trashy but at least it makes you feel strong"	"Trashy but at least it makes you feel strong"
"card_tiger_fur_coat_name"	""	"Tiger Fur Coat"	"Tiger Fur Coat"
"card_warrior_description"	""	"A Villager who goes to the gym"	"A Villager who goes to the gym"
"card_warrior_name"	""	"Warrior"	"Warrior"
"card_wicked_witch_description"	""	"I liked her more when she was still a regular Old Lady"	"I liked her more when she was still a regular Old Lady"
"card_wicked_witch_name"	""	"Wicked Witch"	"Wicked Witch"
"card_wicked_witch_name_2"	""	"Old Lady"	"Old Lady"
"card_wizard_description"	""	"A villager with glitter"	"A villager with glitter"
"card_wizard_name"	""	"Wizard"	"Wizard"
"card_wizard_robe_description"	""	"It's like a magical snuggie"	"It's like a magical snuggie"
"card_wizard_robe_name"	""	"Wizard Robe"	"Wizard Robe"
"card_wolf_head_description"	""	"Perfect for furries"	"Perfect for furries"
"card_wolf_head_name"	""	"Wolf Head"	"Wolf Head"
"card_wooden_shield_description"	""	"A basic defense against hard blows"	"A basic defense against hard blows"
"card_wooden_shield_name"	""	"Wooden Shield"	"Дерев'яний щит"
"cardtype_equipable"	""	"Equipment"	"Спорядження"
"control_toggle_inventory"	""	"Open Inventory"	"Відкрити інвентар"
"credits_wouter"	""	"Programming"	"Програмування"
"defence_veryweak"	""	"Very Weak"	"Дуже слабкий"
"defence_weak"	""	"Weak"	"Слабкий"
"defence_normal"	""	"Normal"	"Нормальний"
"defence_strong"	""	"Strong"	"Сильний"
"defence_verystrong"	""	"Very Strong"	"Дуже сильний"
"defence_extremelystrong"	""	"Extremely Strong"	"Надзвичайно сильний"
"hitchance_verysmall"	""	"Very Small"	"Дуже маленький"
"hitchance_small"	""	"Small"	"Маленький"
"hitchance_normal"	""	"Normal"	"Нормальний"
"hitchance_high"	""	"High"	"Високий"
"hitchance_veryhigh"	""	"Very High"	"Дуже високий"
"hitchance_extremelyhigh"	""	"Extremely High"	"Надзвичайно високий"
"idea_amulet_of_forest_status_0"	""	"Crafting Amulet of the Forest"	"Crafting Amulet of the Forest"
"idea_amulet_of_mountain_status_0"	""	"Crafting Amulet of the Mountain"	"Crafting Amulet of the Mountain"
"idea_axe_status_0"	""	"Creating an Axe"	"Creating an Axe"
"idea_blowpipe_status_0"	""	"Creating a Blowpipe"	"Creating a Blowpipe"
"idea_blunderbuss_status_0"	""	"Creating a Blunderbuss"	"Creating a Blunderbuss"
"idea_bone_spear_status_0"	""	"Creating a Bone Spear"	"Creating a Bone Spear"
"idea_bone_staff_status_0"	""	"Creating a Bone Staff"	"Creating a Bone Staff"
"idea_boomerang_status_0"	""	"Creating a Boomerang"	"Creating a Boomerang"
"idea_bow_status_0"	""	"Creating a Bow"	"Creating a Bow"
"idea_broken_bottle_status_0"	""	"Smashing a Bottle"	"Smashing a Bottle"
"idea_chainmail_armor_status_0"	""	"Creating Chainmail Armor"	"Creating Chainmail Armor"
"idea_club_status_0"	""	"Creating a Club"	"Creating a Club"
"idea_crossbow_status_0"	""	"Creating a Crossbow"	"Creating a Crossbow"
"idea_gold_chestplate_status_0"	""	"Smithing a Chestplate"	"Smithing a Chestplate"
"idea_growth_status_12"	""	"Growing Sugar Cane"	"Growing Sugar Cane"
"idea_hammer_status_0"	""	"Creating a Hammer"	"Creating a Hammer"
"idea_iron_shield_status_0"	""	"Smithing an Iron Shield"	"Smithing an Iron Shield"
"idea_magic_blade_status_0"	""	"Creating a Magic Blade"	"Creating a Magic Blade"
"idea_magic_ring_status_0"	""	"Creating a Magic Ring"	"Creating a Magic Ring"
"idea_magic_staff_status_0"	""	"Creating a Magic Staff"	"Creating a Magic Staff"
"idea_magic_tome_status_0"	""	"Creating a Magic Tome"	"Creating a Magic Tome"
"idea_magic_wand_status_0"	""	"Creating a Magic Wand"	"Creating a Magic Wand"
"idea_pickaxe_status_0"	""	"Creating a Pickaxe"	"Creating a Pickaxe"
"idea_slingshot_status_0"	""	"Creating a Slingshot"	"Creating a Slingshot"
"idea_smithy_status_0"	""	"Building a Smithy"	"Building a Smithy"
"idea_spiked_plank_status_0"	""	"Spiking a Plank"	"Spiking a Plank"
"idea_stable_portal_status_0"	""	"Building a Stable Portal"	"Building a Stable Portal"
"idea_throwing_star_status_0"	""	"Creating a Throwing Star"	"Creating a Throwing Star"
"idea_wizard_robe_status_0"	""	"Creating Wizard Robe"	"Creating Wizard Robe"
"idea_wooden_shield_status_0"	""	"Creating Wooden Shield"	"Creating Wooden Shield"
"label_base_combatlevel"	""	"Base Combat Level [level]"	"Base Combat Level [level]"
"label_can_drop"	""	"Can drop:"	"Може містити:"
"label_cancel_the_ritual"	""	"Wait a minute..."	"Зачекайте хвилинку..."
"label_combatlevel"	""	"Combat Level [level]"	"Рівень бою: [level]"
"label_debug_cards"	"Does not need to be translated"	"Cards"	"Cards"
"label_debug_coin_chest"	"Does not need to be translated"	"Spawn full coin chest"	"Spawn full coin chest"
"label_debug_effects"	"Does not need to be translated"	"Status effects"	"Status effects"
"label_debug_end_moon"	"Does not need to be translated"	"End current moon"	"End current moon"
"label_debug_endless_moon"	"Does not need to be translated"	"Endless moon: [on_off]"	"Endless moon: [on_off]"
"label_debug_general"	"Does not need to be translated"	"General"	"General"
"label_debug_reset_run"	"Does not need to be translated"	"Reset run vars"	"Reset run vars"
"label_debug_scenario_demon"	"Does not need to be translated"	"Spawn the Demon"	"Spawn the Demon"
"label_debug_scenario_demon_lord"	"Does not need to be translated"	"Spawn the Demon Lord"	"Spawn the Demon Lord"
"label_debug_scenario_island"	"Does not need to be translated"	"Go to the Island"	"Go to the Island"
"label_debug_scenario_kraken"	"Does not need to be translated"	"Spawn the Kraken"	"Spawn the Kraken"
"label_debug_scenario_witch_forest"	"Does not need to be translated"	"Go to witch forest"	"Go to witch forest"
"label_debug_shortcut_copy"	"Does not need to be translated"	"Hover + C: Copy card"	"Hover + C: Copy card"
"label_debug_shortcut_delete"	"Does not need to be translated"	"Hover + R: Remove/kill card"	"Hover + R: Remove/kill card"
"label_debug_shortcut_heal"	"Does not need to be translated"	"Hover + H: heal card"	"Hover + H: heal card"
"label_debug_shortcut_progress"	"Does not need to be translated"	"Hover + Z: Complete progress"	"Hover + Z: Complete progress"
"label_debug_shortcut_status"	"Does not need to be translated"	"Hover + U: Remove status effects"	"Hover + U: Remove status effects"
"label_debug_shortcuts"	"Does not need to be translated"	"Shortcuts"	"Shortcuts"
"label_debug_spawn_enemies"	"Does not need to be translated"	"Spawn Enemies"	"Spawn Enemies"
"label_debug_toggle_no_food"	"Does not need to be translated"	"Not using food: [on_off]"	"Not using food: [on_off]"
"label_debug_toggle_peaceful_mode"	"Does not need to be translated"	"Peaceful mode: [on_off]"	"Peaceful mode: [on_off]"
"label_debug_unlock_boosters"	"Does not need to be translated"	"Unlock all booster packs"	"Unlock all booster packs"
"label_debug_unlock_ideas"	"Does not need to be translated"	"Unlock all ideas"	"Unlock all ideas"
"label_debug_unlock_quests"	"Does not need to be translated"	"Unlock all quests"	"Unlock all quests"
"label_defence"	""	"Defense"	"Defense"
"label_demo"	""	"Demo"	"Demo"
"label_demo_any_key_to_start"	""	"Press any key to start playing"	"Press any key to start playing"
"label_demo_reset_warning"	""	"Demo will reset in [time]s, press any key to continue"	"Demo will reset in [time]s, press any key to continue"
"label_equiping"	""	"Equipping [card]"	"Equipping [card]"
"label_everyone_in_forest_dead"	""	"You could not seek revenge"	"You could not seek revenge"
"label_everyone_in_forest_dead_text"	""	"Strenghten up and try again!"	"Strenghten up and try again!"
"label_extra_combat_stats"	""	"Extra Combat Stats: [on_off]"	"Extra Combat Stats: [on_off]"
"label_forest_fight"	""	"Get ready to fight!"	"Get ready to fight!"
"label_forest_fight_wave_10"	""	"Get ready to fight the Wicked Witch!"	"Get ready to fight the Wicked Witch!"
"label_forest_intro_1"	""	"You enter a Strange Dark Forest"	"You enter a Strange Dark Forest"
"label_forest_intro_2"	""	"An old lady appears!"	"An old lady appears!"
"label_forest_intro_3"	""	"Good day to you, traveler.."	"Good day to you, traveler.."
"label_forest_intro_4"	""	"Now she's closer, she does not look like an Old Lady at all!"	"Now she's closer, she does not look like an Old Lady at all!"
"label_forest_intro_5"	""	"She's a Wicked Witch!"	"She's a Wicked Witch!"
"label_forest_intro_6"	""	"You've come to seek revenge, but you'll never defeat me!"	"You've come to seek revenge, but you'll never defeat me!"
"label_forest_intro_title"	""	"The Dark Forest"	"The Dark Forest"
"label_forest_leave"	""	"You fled with your earnings"	"You fled with your earnings"
"label_forest_lost"	""	"Pathetic, was that everything you've got?"	"Pathetic, was that everything you've got?"
"label_forest_lost_2"	""	"All your villagers have fallen. You have to take your losses and fall back."	"All your villagers have fallen. You have to take your losses and fall back."
"label_forest_lost_title"	""	"Your Villagers withered away"	"Your Villagers withered away"
"label_forest_resume"	""	"So you're back for more? You will never defeat me!"	"So you're back for more? You will never defeat me!"
"label_forest_resume_title"	""	"Back again?"	"Back again?"
"label_forest_wave_10_end"	""	"How did this happen? I'll defeat you!"	"How did this happen? I'll defeat you!"
"label_forest_wave_10_end2"	""	"Do you want to fight the Wicked Witch or leave the Forest?"	"Do you want to fight the Wicked Witch or leave the Forest?"
"label_forest_wave_end"	""	"You've beaten my minions, but I have plenty more!"	"You've beaten my minions, but I have plenty more!"
"label_forest_wave_end_leave"	""	"Flee the Forest"	"Flee the Forest"
"label_forest_wave_end_next_wave"	""	"Fight wave [wave]"	"Fight wave [wave]"
"label_forest_wave_end_wave_10"	""	"Fight the Wicked Witch"	"Fight the Wicked Witch"
"label_forest_wave_end2"	""	"Do you want to fight the next wave or run away?"	"Do you want to fight the next wave or run away?"
"label_forest_wave_endless_end"	""	"You've defeated the Wicked Witch, yet a dark force still lingers.."	"You've defeated the Wicked Witch, yet a dark force still lingers.."
"label_forest_wave_endless_end3"	""	"You can continue fighting to get more resources"	"You can continue fighting to get more resources"
"label_forest_wave_title"	""	"Wave Defeated"	"Wave Defeated"
"label_framerate_120"	""	"120 FPS"	"30 FPS"
"label_framerate_30"	""	"30 FPS"	"60 FPS"
"label_framerate_60"	""	"60 FPS"	"120 FPS"
"label_framerate_cap"	""	"Framerate limit: [fps_cap]"	"Ліміт кадрів: [fps_cap]"
"label_framerate_unlimited"	""	"None"	"Немає"
"label_go_to_forest_prompt"	""	"Are you sure you want to travel through this Portal?"	"Are you sure you want to travel through this Portal?"
"label_inventory"	""	"Inventory"	"Інвентар"
"label_not_enough_food_before_portal"	""	"You need to have enough Food for your Villagers before you can enter the Portal"	"You need to have enough Food for your Villagers before you can enter the Portal"
"label_taking_portal_full"	""	"Teleporting through Portal"	"Teleporting through Portal"
"label_taking_portal_title"	""	"Take the Portal"	"Take the Portal"
"label_toggle_inventory"	""	"Click to toggle the inventory"	"Click to toggle the inventory"
"label_total_combatlevel"	""	"Total Combat Level [level]"	"Total Combat Level [level]"
"quest_break_bottle_text"	""	"Break a Bottle"	"Break a Bottle"
"quest_build_smithy_text"	""	"Build a Smithy"	"Build a Smithy"
"quest_build_stable_portal_text"	""	"Build a Stable Portal"	"Build a Stable Portal"
"quest_craft_amulet_forest_text"	""	"Craft the Amulet of the Forest"	"Craft the Amulet of the Forest"
"quest_equip_archer_quiver_text"	""	"Equip an Archer with a Quiver"	"Equip an Archer with a Quiver"
"quest_fight_wave_six_text"	""	"Get to wave 6"	"Добратися до хвилі 6"
"quest_fight_wicked_witch_text"	""	"Fight the Wicked Witch"	"Fight the Wicked Witch"
"quest_find_dark_forest_text"	""	"Find the Dark Forest"	"Знайти темний ліс"
"quest_finish_first_wave_text"	""	"Complete the first wave"	"Complete the first wave"
"quest_plant_berry_bush_text"	""	"Grow a Berry Bush using Soil"	"Grow a Berry Bush using Soil"
"quest_punch_rock_text"	""	"Mine a Rock using a Villager"	"Mine a Rock using a Villager"
"quest_punch_tree_text"	""	"Harvest a Tree using a Villager"	"Harvest a Tree using a Villager"
"quest_train_archer_text"	""	"Train an Archer"	"Train an Archer"
"quest_train_ninja_text"	""	"Train a Ninja"	"Train a Ninja"
"quest_train_wizard_text"	""	"Train a Wizard"	"Train a Wizard"
"quest_villager_combat_20_text"	""	"Have a Villager with Combat Level 20"	"Have a Villager with Combat Level 20"
"quest_wear_bunny_hat_text"	""	"Make a Villager wear a Rabbit Hat"	"Make a Villager wear a Rabbit Hat"
"quest_wear_crab_scale_armor_text"	""	"Make a Villager wear Crab Scale Armor"	"Make a Villager wear Crab Scale Armor"
"questgroup_equipment"	""	"Strengthen Up"	"Strengthen Up"
"questgroup_forest_mainquest"	""	"The Dark Forest"	"Темний ліс"
"rumor_combat_description"	""	"Some attack types are stronger against others. For example, Melee beats Magic!"	"Some attack types are stronger against others. For example, Melee beats Magic!"
"rumor_combat_name"	""	"Combat"	"Бій"
"specialhit_bleeding_long"	""	"[chance]% chance to Bleed [target]"	"[chance]% шанс викликати кровотечу у [target]"
"specialhit_crit_long"	""	"[chance]% chance to do a Critical Hit on [target]"	"[chance]% шанс завдати критичного удару до [target]"
"specialhit_damage_long"	""	"[chance]% chance to Damage [target]"	"[chance]% шанс завдати шкоди до [target]"
"specialhit_frenzy_long"	""	"[chance]% chance to Frenzy [target]"	"[chance]% шанс на шаленство [target]"
"specialhit_heal_long"	""	"[chance]% chance to Heal [target]"	"[chance]% шанс зцілити [target]"
"specialhit_heallowest_long"	""	"[chance]% chance to Heal friendly with lowest health"	"[chance]% шанс зцілити союзника з найнижчим рівнем здоров'я"
"specialhit_invulnerable_long"	""	"[chance]% chance to make [target] Invulnerable"	"[chance]% шанс зробити [target] невразливим(ми)"
"specialhit_lifesteal_long"	""	"[chance]% chance to Lifesteal from [target]"	"[chance]% шанс на вкрасти здоров'я у [target]"
"specialhit_poison_long"	""	"[chance]% chance to Poison [target]"	"[chance]% шанс отруїти [target]"
"specialhit_stun_long"	""	"[chance]% chance to Stun [target]"	"[chance]% шанс приголомшити [target]"
"statuseffect_bleeding_description"	""	"Deals damage every 2s for 10s"	"Завдає шкоди кожні 2 с протягом 10 с"
"statuseffect_bleeding_lore"	""	"It's gushing out"	"Воно витікає"
"statuseffect_bleeding_name"	""	"Bleeding"	"Кровоточить"
